"","LOCALITY_NAME","POSTCODE","STATE","SA2_MAINCODE","SA2_NAME","SA2_5DIGITCODE_2016","SA3_CODE_2016","SA3_NAME_2016","SA4_CODE_2016","SA4_NAME_2016"
"1","RIVERLEA",2620,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"2","STROMLO",2611,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"3","CASTLE HILL",2620,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"4","PADDYS RIVER",2620,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"5","BIBARINGA",2611,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"6","MOUNT ELIZA",2620,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"7","MOUNT STROMLO",2611,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"8","OAKEY CREEK",2620,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"9","SNOWY CORNER",2620,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"10","URIARRA",2611,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"11","THARWA",2620,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"12","COREE",2611,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"13","URIARRA VILLAGE",2611,"ACT",801111140,"ACT - South West",81140,80111,"Urriarra - Namadgi",801,"Australian Capital Territory"
"14","ACTON",2601,"ACT",801051049,"Acton",81049,80105,"North Canberra",801,"Australian Capital Territory"
"15","ANU",2601,"ACT",801051049,"Acton",81049,80105,"North Canberra",801,"Australian Capital Territory"
"16","AUSTRALIAN NATIONAL UNIVERSITY",2601,"ACT",801051049,"Acton",81049,80105,"North Canberra",801,"Australian Capital Territory"
"17","SPINNAKER ISLAND",2601,"ACT",801051049,"Acton",81049,80105,"North Canberra",801,"Australian Capital Territory"
"18","SPRINGBANK ISLAND",2601,"ACT",801051049,"Acton",81049,80105,"North Canberra",801,"Australian Capital Territory"
"19","AINSLIE",2602,"ACT",801051050,"Ainslie",81050,80105,"North Canberra",801,"Australian Capital Territory"
"20","CANBERRA CENTRAL",2602,"ACT",801051050,"Ainslie",81050,80105,"North Canberra",801,"Australian Capital Territory"
"21","AMAROO",2914,"ACT",801041034,"Amaroo",81034,80104,"Gungahlin",801,"Australian Capital Territory"
"22","ARANDA",2614,"ACT",801011001,"Aranda",81001,80101,"Belconnen",801,"Australian Capital Territory"
"23","BANKS",2906,"ACT",801071071,"Banks",81071,80107,"Tuggeranong",801,"Australian Capital Territory"
"24","BARTON",2600,"ACT",801061129,"Barton",81129,80106,"South Canberra",801,"Australian Capital Territory"
"25","MANUKA",2600,"ACT",801061129,"Barton",81129,80106,"South Canberra",801,"Australian Capital Territory"
"26","BELCONNEN",2617,"ACT",801011002,"Belconnen",81002,80101,"Belconnen",801,"Australian Capital Territory"
"27","EMU BANK",2617,"ACT",801011002,"Belconnen",81002,80101,"Belconnen",801,"Australian Capital Territory"
"28","EMU RIDGE",2617,"ACT",801011002,"Belconnen",81002,80101,"Belconnen",801,"Australian Capital Territory"
"29","BLACK MOUNTAIN",2601,"ACT",801051123,"Black Mountain",81123,80105,"North Canberra",801,"Australian Capital Territory"
"30","ACTON PARK",2601,"ACT",801051123,"Black Mountain",81123,80105,"North Canberra",801,"Australian Capital Territory"
"31","BONNER",2914,"ACT",801041035,"Bonner",81035,80104,"Gungahlin",801,"Australian Capital Territory"
"32","BONYTHON",2905,"ACT",801071072,"Bonython",81072,80107,"Tuggeranong",801,"Australian Capital Territory"
"33","BRADDON",2612,"ACT",801051051,"Braddon",81051,80105,"North Canberra",801,"Australian Capital Territory"
"34","CANBERRA CENTRAL",2612,"ACT",801051051,"Braddon",81051,80105,"North Canberra",801,"Australian Capital Territory"
"35","DEVONPORT",2612,"ACT",801051051,"Braddon",81051,80105,"North Canberra",801,"Australian Capital Territory"
"36","FULLERTON",2612,"ACT",801051051,"Braddon",81051,80105,"North Canberra",801,"Australian Capital Territory"
"37","ACACIA GARDENS",2617,"ACT",801011003,"Bruce",81003,80101,"Belconnen",801,"Australian Capital Territory"
"38","BRUCE",2617,"ACT",801011003,"Bruce",81003,80101,"Belconnen",801,"Australian Capital Territory"
"39","CAPRICORN",2617,"ACT",801011003,"Bruce",81003,80101,"Belconnen",801,"Australian Capital Territory"
"40","CALWELL",2905,"ACT",801071073,"Calwell",81073,80107,"Tuggeranong",801,"Australian Capital Territory"
"41","CONDER RIDGE",2905,"ACT",801071073,"Calwell",81073,80107,"Tuggeranong",801,"Australian Capital Territory"
"42","MOUNTAIN VIEW",2905,"ACT",801071073,"Calwell",81073,80107,"Tuggeranong",801,"Australian Capital Territory"
"43","CAMPBELL",2612,"ACT",801051124,"Campbell",81124,80105,"North Canberra",801,"Australian Capital Territory"
"44","DUNTROON",2612,"ACT",801051124,"Campbell",81124,80105,"North Canberra",801,"Australian Capital Territory"
"45","CANBERRA AIRPORT",2609,"ACT",801031114,"Canberra Airport",81114,80103,"Canberra East",801,"Australian Capital Territory"
"46","CANBERRA INTERNATIONAL AIRPORT",2609,"ACT",801031114,"Canberra Airport",81114,80103,"Canberra East",801,"Australian Capital Territory"
"47","MAJURA",2609,"ACT",801031114,"Canberra Airport",81114,80103,"Canberra East",801,"Australian Capital Territory"
"48","JERRABOMBERRA",2620,"ACT",801031113,"Canberra East",81113,80103,"Canberra East",801,"Australian Capital Territory"
"49","HARMAN",2600,"ACT",801031113,"Canberra East",81113,80103,"Canberra East",801,"Australian Capital Territory"
"50","HMAS HARMAN",2600,"ACT",801031113,"Canberra East",81113,80103,"Canberra East",801,"Australian Capital Territory"
"51","OAKS ESTATE",2620,"ACT",801031113,"Canberra East",81113,80103,"Canberra East",801,"Australian Capital Territory"
"52","SYMONSTON",2609,"ACT",801031113,"Canberra East",81113,80103,"Canberra East",801,"Australian Capital Territory"
"53","BEARD",2620,"ACT",801031113,"Canberra East",81113,80103,"Canberra East",801,"Australian Capital Territory"
"54","CASEY",2913,"ACT",801041036,"Casey",81036,80104,"Gungahlin",801,"Australian Capital Territory"
