"","NAME","State","Postcode","Cardiac.ARIA"
"1","AARONS PASS","NSW","2850","5A"
"2","ABBOTSBURY","NSW","2176","1A"
"3","ABBOTSFORD","NSW","2046","1A"
"4","ABERBALDIE","NSW","2354","5A"
"5","ABERCROMBIE","NSW","2795","3A"
"6","ABERCROMBIE RIVER","NSW","2795","6A"
"7","ABERDARE","NSW","2325","1A"
"8","ABERDEEN","NSW","2336","4A"
"9","ABERDEEN","NSW","2359","6A"
"10","ABERDEEN","NSW","2590","6A"
"11","ABERFOYLE","NSW","2350","6A"
"12","ABERGLASSLYN","NSW","2320","3A"
"13","ABERMAIN","NSW","2326","1A"
"14","ABERNETHY","NSW","2325","1A"
"15","ABINGTON","NSW","2350","6A"
"16","ACACIA GARDENS","NSW","2763","1A"
"17","ACACIA PARK","NSW","2350","4A"
"18","ADAMINABY","NSW","2629","6A"
"19","ADAMSTOWN","NSW","2289","1A"
"20","ADAMSTOWN HEIGHTS","NSW","2289","1A"
"21","ADELONG","NSW","2729","5A"
"22","ADJUNGBILLY","NSW","2727","6A"
"23","ALECTOWN","NSW","2870","6A"
"24","ALEXANDRIA","NSW","2015","1A"
"25","ALFORDS POINT","NSW","2234","1A"
"26","ALFREDTOWN","NSW","2650","1A"
"27","ALICE","NSW","2460","6B"
"28","ALISON","NSW","2259","1A"
"29","ALISON","NSW","2420","5A"
"30","ALLAMBIE","NSW","2810","5A"
"31","ALLAMBIE HEIGHTS","NSW","2100","1A"
"32","ALLANDALE","NSW","2320","3A"
"33","ALLANDALE","NSW","2710","6A"
"34","ALLAWAH","NSW","2218","1A"
"35","ALLEENA","NSW","2671","5B"
"36","ALLENDALE","NSW","2587","6A"
"37","ALLGOMERA","NSW","2441","4A"
"38","AMMERDOWN","NSW","2800","1A"
"39","AMOSFIELD","NSW","2372","5A"
"40","ANABRANCH","NSW","2648","6E"
"41","ANAMBAH","NSW","2320","3A"
"42","ANDO","NSW","2631","5A"
"43","ANEMBO","NSW","2621","6A"
"44","ANGLE PARK","NSW","2830","2A"
"45","ANGLEDALE","NSW","2550","4A"
"46","ANGLEDOOL","NSW","2832","6C"
"47","ANGLERS REACH","NSW","2629","6A"
"48","ANGOURIE","NSW","2464","4A"
"49","ANNA BAY","NSW","2316","5A"
"50","ANNANDALE","NSW","2038","1A"
"51","ANNANGROVE","NSW","2156","1A"
"52","ANTIENE","NSW","2333","4A"
"53","ARDGLEN","NSW","2338","5B"
"54","ARDING","NSW","2358","4A"
"55","ARDLETHAN","NSW","2665","6B"
"56","ARGALONG","NSW","2720","5A"
"57","ARGENTON","NSW","2284","1A"
"58","ARGENTS HILL","NSW","2449","6A"
"59","ARGOON","NSW","2707","6C"
"60","ARGYLE","NSW","2350","4A"
"61","ARIAH PARK","NSW","2665","6B"
"62","ARKELL","NSW","2795","6A"
"63","ARKSTONE","NSW","2795","6B"
"64","ARMATREE","NSW","2831","5B"
"65","ARMIDALE","NSW","2350","4A"
"66","ARNCLIFFE","NSW","2205","1A"
"67","ARNDELL PARK","NSW","2148","1A"
"68","ARRAWARRA","NSW","2456","1A"
"69","ARRAWARRA HEADLAND","NSW","2456","1A"
"70","ATHOLWOOD","NSW","2361","6C"
"71","ATTUNGA","NSW","2345","2A"
"72","AUBURN","NSW","2144","1A"
"73","AUBURN VALE","NSW","2360","4A"
"74","AUDLEY","NSW","2233","1A"
"75","AUSTINMER","NSW","2515","1A"
"76","AUSTRAL","NSW","2179","1A"
"77","AUSTRAL EDEN","NSW","2440","4A"
"78","AVALON","NSW","2666","5A"
"79","AVALON","NSW","2107","1A"
"80","AVALON BEACH","NSW","2107","1A"
"81","AVISFORD","NSW","2850","6A"
"82","AVOCA","NSW","2577","3A"
"83","AVOCA","NSW","2648","6A"
"84","AVOCA BEACH","NSW","2251","1A"
"85","AVON","NSW","2574","1A"
"86","AVONDALE","NSW","2265","1A"
"87","AVONDALE","NSW","2530","1A"
"88","AVONDALE","NSW","2832","6C"
"89","BAKERS CREEK","NSW","2359","6A"
"90","BAKERS CREEK","NSW","2422","5A"
"91","BAKERS CREEK","NSW","2447","6A"
"92","BAKERS SWAMP","NSW","2820","6A"
"93","BALALA","NSW","2358","6A"
"94","BALARANG","NSW","2529","1A"
"95","BALCOLYN","NSW","2264","2A"
"96","BALD BLAIR","NSW","2365","5A"
"97","BALD HILLS","NSW","2549","4A"
"98","BALD HILLS","NSW","2835","6B"
"99","BALD KNOB","NSW","2476","5A"
"100","BALD NOB","NSW","2370","6A"
"101","BALD RIDGE","NSW","2795","6A"
"102","BALDERSLEIGH","NSW","2365","6A"
"103","BALDRY","NSW","2867","6B"
"104","BALFOURS PEAK","NSW","2402","6A"
"105","BALGOWLAH","NSW","2093","1A"
"106","BALGOWLAH HEIGHTS","NSW","2093","1A"
"107","BALGOWNIE","NSW","2633","5B"
"108","BALGOWNIE","NSW","2519","1A"
"109","BALICKERA","NSW","2324","3A"
"110","BANDA BANDA","NSW","2446","6A"
"111","BANDON","NSW","2871","5A"
"112","BANDON GROVE","NSW","2420","5A"
"113","BANGADANG","NSW","2729","6A"
"114","BANGADILLY","NSW","2577","6A"
"115","BANGALEE","NSW","2541","3A"
"116","BANGALOW","NSW","2479","2A"
"117","BANGHEET","NSW","2404","5B"
"118","BANGO","NSW","2582","5A"
"119","BANGOR","NSW","2234","1A"
"120","BANKSIA","NSW","2216","1A"
"121","BANKSMEADOW","NSW","2019","1A"
"122","BANKSTOWN","NSW","2200","1A"
"123","BANKSTOWN AERODROME","NSW","2200","1A"
"124","BANKSTOWN NORTH","NSW","2200","1A"
"125","BANNABY","NSW","2580","6A"
"126","BANNISTER","NSW","2580","6A"
"127","BANOON","NSW","2347","6A"
"128","BANOON","NSW","2737","6B"
"129","BANORA POINT","NSW","2486","2A"
"130","BANYABBA","NSW","2469","6A"
"131","BARNEY DOWNS","NSW","2372","5B"
"132","BARNEYS REEF","NSW","2852","5A"
"133","BARNSLEY","NSW","2278","1A"
"134","BAROOGA","NSW","3644","5A"
"135","BAROONA","NSW","2834","5C"
"136","BARRA BRUI","NSW","2075","1A"
"137","BARRABA","NSW","2347","5B"
"138","BARRACK HEIGHTS","NSW","2528","1A"
"139","BARRACK POINT","NSW","2528","1A"
"140","BARRAGANYATTI","NSW","2441","4A"
"141","BARRAGGA BAY","NSW","2546","4A"
"142","BARRALLIER","NSW","2580","6A"
"143","BARRATTA","NSW","2710","6A"
"144","BARREN GROUNDS","NSW","2577","4A"
"145","BARRENGARRY","NSW","2577","3A"
"146","BARRETTS CREEK","NSW","2460","6A"
"147","BARRINGELLA","NSW","2540","6A"
"148","BARRINGTON","NSW","2422","5A"
"149","BARRINGTON TOPS","NSW","2422","6B"
"150","BARRINGUN","NSW","2840","8E"
"151","BARRY","NSW","2340","6A"
"152","BARRY","NSW","2799","5A"
"153","BAYVIEW","NSW","2104","1A"
"154","BEACHSIDE","NSW","2533","3A"
"155","BEACON HILL","NSW","2100","1A"
"156","BEACONSFIELD","NSW","2015","1A"
"157","BEAN CREEK","NSW","2469","5B"
"158","BEARBONG","NSW","2827","5B"
