"","LOCALITY_NAME","POSTCODE","SA2_MAINCODE","SA2_NAME"
"1","RIVERLEA",2620,801111140,"ACT - South West"
"2","STROMLO",2611,801111140,"ACT - South West"
"3","CASTLE HILL",2620,801111140,"ACT - South West"
"4","PADDYS RIVER",2620,801111140,"ACT - South West"
"5","BIBARINGA",2611,801111140,"ACT - South West"
"6","MOUNT ELIZA",2620,801111140,"ACT - South West"
"7","MOUNT STROMLO",2611,801111140,"ACT - South West"
"8","OAKEY CREEK",2620,801111140,"ACT - South West"
"9","SNOWY CORNER",2620,801111140,"ACT - South West"
"10","URIARRA",2611,801111140,"ACT - South West"
"11","THARWA",2620,801111140,"ACT - South West"
"12","COREE",2611,801111140,"ACT - South West"
"13","URIARRA VILLAGE",2611,801111140,"ACT - South West"
"14","ACTON",2601,801051049,"Acton"
"15","ANU",2601,801051049,"Acton"
"16","AUSTRALIAN NATIONAL UNIVERSITY",2601,801051049,"Acton"
"17","SPINNAKER ISLAND",2601,801051049,"Acton"
"18","SPRINGBANK ISLAND",2601,801051049,"Acton"
"19","AINSLIE",2602,801051050,"Ainslie"
"20","CANBERRA CENTRAL",2602,801051050,"Ainslie"
"21","AMAROO",2914,801041034,"Amaroo"
"22","ARANDA",2614,801011001,"Aranda"
"23","BANKS",2906,801071071,"Banks"
"24","BARTON",2600,801061129,"Barton"
"25","MANUKA",2600,801061129,"Barton"
"26","BELCONNEN",2617,801011002,"Belconnen"
"27","EMU BANK",2617,801011002,"Belconnen"
"28","EMU RIDGE",2617,801011002,"Belconnen"
"29","BLACK MOUNTAIN",2601,801051123,"Black Mountain"
"30","ACTON PARK",2601,801051123,"Black Mountain"
"31","BONNER",2914,801041035,"Bonner"
"32","BONYTHON",2905,801071072,"Bonython"
"33","BRADDON",2612,801051051,"Braddon"
"34","CANBERRA CENTRAL",2612,801051051,"Braddon"
"35","DEVONPORT",2612,801051051,"Braddon"
"36","FULLERTON",2612,801051051,"Braddon"
"37","ACACIA GARDENS",2617,801011003,"Bruce"
"38","BRUCE",2617,801011003,"Bruce"
"39","CAPRICORN",2617,801011003,"Bruce"
"40","CALWELL",2905,801071073,"Calwell"
"41","CONDER RIDGE",2905,801071073,"Calwell"
"42","MOUNTAIN VIEW",2905,801071073,"Calwell"
"43","CAMPBELL",2612,801051124,"Campbell"
"44","DUNTROON",2612,801051124,"Campbell"
"45","CANBERRA AIRPORT",2609,801031114,"Canberra Airport"
"46","CANBERRA INTERNATIONAL AIRPORT",2609,801031114,"Canberra Airport"
"47","MAJURA",2609,801031114,"Canberra Airport"
"48","JERRABOMBERRA",2620,801031113,"Canberra East"
"49","HARMAN",2600,801031113,"Canberra East"
"50","HMAS HARMAN",2600,801031113,"Canberra East"
"51","OAKS ESTATE",2620,801031113,"Canberra East"
"52","SYMONSTON",2609,801031113,"Canberra East"
"53","BEARD",2620,801031113,"Canberra East"
"54","CASEY",2913,801041036,"Casey"
"55","CHAPMAN",2611,801081091,"Chapman"
"56","CHARNWOOD",2615,801011004,"Charnwood"
"57","CHIFLEY",2606,801091099,"Chifley"
"58","CHISHOLM",2905,801071074,"Chisholm"
"59","CANBERRA",2601,801051053,"Civic"
"60","CANBERRA CENTRAL",2601,801051053,"Civic"
"61","CANBERRA CITY",2601,801051053,"Civic"
"62","CITY",2601,801051053,"Civic"
"63","CIVIC",2601,801051053,"Civic"
"64","CIVIC CENTRE",2601,801051053,"Civic"
"65","CIVIC SQUARE",2601,801051053,"Civic"
"66","CONDER",2906,801071075,"Conder"
"67","CONDER RIDGE",2906,801071075,"Conder"
"68","COOK",2614,801011005,"Cook"
"69","COOMBS",2611,801101135,"Coombs"
"70","CRACE",2911,801041037,"Crace"
"71","CURTIN",2605,801091100,"Curtin"
"72","WODEN VALLEY",2605,801091100,"Curtin"
"73","CANBERRA CENTRAL",2600,801061062,"Deakin"
"74","DEAKIN",2600,801061062,"Deakin"
"75","DEAKIN WEST",2600,801061062,"Deakin"
"76","DENMAN PROSPECT",2611,801101136,"Denman Prospect"
"77","DICKSON",2602,801051054,"Dickson"
"78","DOWNER",2602,801051055,"Downer"
"79","DUFFY",2611,801081092,"Duffy"
"80","DUNLOP",2615,801011006,"Dunlop"
"81","EVATT",2617,801011007,"Evatt"
"82","FADDEN",2904,801071076,"Fadden"
"83","FARRER",2607,801091101,"Farrer"
"84","FISHER",2611,801081093,"Fisher"
"85","FLOREY",2615,801011008,"Florey"
"86","FLYNN",2615,801011009,"Flynn (ACT)"
"87","FORDE",2914,801041038,"Forde"
"88","FORREST",2603,801061063,"Forrest"
"89","FRANKLIN",2913,801041039,"Franklin"
"90","FRASER",2615,801011010,"Fraser"
"91","CANBERRA CENTRAL",2609,801061130,"Fyshwick"
"92","FYSHWICK",2609,801061130,"Fyshwick"
"93","GARRAN",2605,801091102,"Garran"
"94","GILMORE",2905,801071077,"Gilmore"
"95","GIRALANG",2617,801011011,"Giralang"
"96","GORDON",2906,801071078,"Gordon (ACT)"
"97","GORDON PARK",2906,801071078,"Gordon (ACT)"
"98","GOWRIE",2904,801071079,"Gowrie (ACT)"
"99","GOWRIE PARK",2904,801071079,"Gowrie (ACT)"
"100","GREENWAY",2900,801071080,"Greenway"
"101","TUGGERANONG",2900,801071080,"Greenway"
"102","CANBERRA CENTRAL",2603,801061064,"Griffith (ACT)"
"103","GRIFFITH",2603,801061064,"Griffith (ACT)"
"104","MANUKA",2603,801061064,"Griffith (ACT)"
"105","GUNGAHLIN",2912,801041040,"Gungahlin"
"106","KINLYSIDE",2912,801041117,"Gungahlin - West"
"107","HACKETT",2602,801051056,"Hackett"
"108","HALL",2618,801041043,"Hall"
"109","HARRISON",2914,801041044,"Harrison"
"110","KENNY",2914,801041044,"Harrison"
"111","HAWKER",2614,801011013,"Hawker"
"112","HALL",2615,801011014,"Higgins"
"113","HIGGINS",2615,801011014,"Higgins"
"114","HOLDER",2611,801081094,"Holder"
"115","HOLT",2615,801011015,"Holt"
"116","KIPPAX",2615,801011015,"Holt"
"117","SCOTTSDALE",2615,801011015,"Holt"
"118","HUGHES",2605,801091103,"Hughes"
"119","HUME",2620,801031031,"Hume"
"120","ISAACS",2607,801091104,"Isaacs"
"121","ISABELLA PLAINS",2905,801071081,"Isabella Plains"
"122","TUGGERANONG",2905,801071081,"Isabella Plains"
"123","JACKA",2914,801041118,"Jacka"
"124","KALEEN",2617,801011016,"Kaleen"
"125","GLEN EAGLES",2902,801071082,"Kambah"
"126","GLENEAGLES",2902,801071082,"Kambah"
"127","KAMBAH",2902,801071082,"Kambah"
"128","CARRINGTON",2604,801061131,"Kingston (ACT)"
"129","KINGSTON",2604,801061131,"Kingston (ACT)"
"130","MANUKA",2604,801061131,"Kingston (ACT)"
"131","KOWEN",2620,801031032,"Kowen"
"132","BELCONNEN",2615,801011017,"Latham"
"133","LATHAM",2615,801011017,"Latham"
"134","LAWSON",2617,801011018,"Lawson"
"135","KENSINGTON GARDENS",2602,801051057,"Lyneham"
"136","LYNEHAM",2602,801051057,"Lyneham"
"137","LYNEHAM NORTH",2602,801051057,"Lyneham"
"138","N LYNEHAM",2602,801051057,"Lyneham"
"139","NORTH LYNEHAM",2602,801051057,"Lyneham"
"140","LYONS",2606,801091105,"Lyons (ACT)"
"141","WODEN VALLEY",2606,801091105,"Lyons (ACT)"
"142","MACARTHUR",2904,801071083,"Macarthur"
