"","sa2_area","total_pop","male","female","overseas","childcare","employ","oc_positive","oc_negative","sp_male","sp_female","sp_total","student","age0","age10","age20","age30","age40","age50","age60","age70","age80","age90","age100"
"1","Acacia Gardens",3796,50.1053740779768,49.8946259220232,44.5205479452055,27.7397260273973,2.76606954689146,75.4995655951347,2.43266724587315,0.579557428872497,2.87144362486828,3.45100105374078,29.2149631190727,626,501,491,727,553,488,275,93,30,3,0
"2","Adamstown - Kotara",15600,49.0961538461538,50.8846153846154,14.9423076923077,26.8012820512821,3.00641025641026,67.5866298681386,1.64060104262496,0.846153846153846,3.33333333333333,4.17948717948718,26.3397435897436,2105,1916,1929,2119,2252,1865,1431,1189,675,122,0
"3","Albion Park - Macquarie Pass",14331,48.4474216732957,51.5804898471844,17.2423417765683,28.8744679366408,2.84697508896797,73.1942215088282,1.946227929374,0.76058893308213,3.6424534226502,4.40304235573233,27.0183518247157,2087,2213,1758,1861,2010,1900,1293,715,374,109,0
"4","Albion Park Rail",6918,48.800231280717,51.199768719283,20.8730847065626,24.2411101474415,3.22347499277248,66.173752310536,3.03142329020333,1.19976871928303,5.20381613183001,6.40358485111304,21.6247470367158,888,834,906,824,792,948,822,527,295,86,0
"5","Albury - East",15047,48.0760284442081,51.9372632418422,14.8468133182694,25.3538911410912,2.63839968099953,70.4321087554621,1.03576630522738,0.651292616468399,2.87765002990629,3.52894264637469,26.5036219844487,2218,1988,2181,2109,1961,1669,1391,928,491,101,3
"6","Albury - North",9845,48.7760284408329,51.1731843575419,19.2585068562722,21.7673946165566,3.67699339766379,62.6675455943749,1.9336409580312,1.08684611477908,4.28643981716607,5.37328593194515,21.9400711020823,1200,1282,1335,1140,1305,1290,1060,738,406,90,0
"7","Albury - South",10302,48.0683362453892,51.9122500485343,20.6658901184236,19.9767035527082,3.11589982527665,60.4430978981254,1.70422268509752,0.747427683944865,3.24208891477383,3.9895165987187,20.3552708211998,1078,1160,1247,1170,1267,1433,1347,867,554,181,3
"8","Albury Region",11611,50.0129187839118,49.9698561708725,13.7197485143398,23.5724743777452,2.07561794849711,66.7405764966741,1.81415037290869,0.714839376453363,2.4459564206356,3.16079579708897,25.0452157436913,1584,1762,840,1110,1492,1806,1572,943,378,104,4
"9","Anna Bay",5726,49.3014320642683,50.716032134125,21.0094306671324,22.5288159273489,2.86412853650017,58.1925055106539,1.91036002939015,0.855745721271394,3.33566189311911,4.1914076143905,20.9221096751659,559,810,520,451,788,891,825,638,225,17,0
"10","Armidale",23348,47.7299982867912,52.2785677574096,21.8905259551139,19.2950145622751,3.76049340414597,61.7560877033445,1.97029402849348,0.728113757066986,3.5206441665239,4.24875792359089,32.5381188966935,2619,3681,4081,2522,2598,2908,2295,1621,870,164,3
"11","Armidale Region - North",4490,50.6681514476615,49.3541202672606,14.9443207126949,21.2249443207127,2.36080178173719,60.2649006622517,1.46641438032167,1.02449888641425,2.98440979955457,4.00890868596882,22.1603563474388,629,549,416,449,549,705,622,388,158,35,0
"12","Armidale Region - South",6023,48.4974265316288,51.4859704466213,15.4740162709613,21.8827826664453,2.30782002324423,66.5307635285397,1.44551519644181,0.813548065747966,2.93873484974265,3.75228291549062,22.9453760584426,705,820,428,578,795,980,936,540,223,21,0
