Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by BPLP Country of Birth of Person"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"BPLP Country of Birth of Person","COB_overseas","COB_aust","Total",
"SA2 (UR)",
"Braidwood",925,2952,3875,
"Karabar",1887,6356,8241,
"Queanbeyan",3571,7270,10838,
"Queanbeyan - East",1495,3287,4785,
"Queanbeyan Region",3905,13038,16945,
"Queanbeyan West - Jerrabomberra",2532,10111,12642,
"Bombala",406,1983,2391,
"Cooma",1609,5127,6737,
"Cooma Region",772,2508,3282,
"Jindabyne - Berridale",1600,5348,6953,
"Batemans Bay",1735,5956,7689,
"Batemans Bay - South",1996,6360,8361,
"Bega - Tathra",1500,6907,8405,
"Bega-Eden Hinterland",1793,7002,8795,
"Broulee - Tomakin",687,2602,3287,
"Deua - Wadbilliga",8,18,25,
"Eden",691,2526,3218,
"Eurobodalla Hinterland",658,2638,3298,
"Merimbula - Tura Beach",2312,8315,10621,
"Moruya - Tuross Head",1714,6255,7968,
"Narooma - Bermagui",2105,6869,8979,
"Goulburn",3746,19143,22890,
"Goulburn Region",2365,10302,12673,
"Yass",991,5514,6502,
"Yass Region",2128,9377,11508,
"Young",1499,9102,10604,
"Young Region",1088,6237,7323,
"Avoca Beach - Copacabana",1645,5669,7315,
"Box Head - MacMasters Beach",2160,8530,10688,
"Calga - Kulnura",1228,3477,4703,
"Erina - Green Point",3702,10246,13950,
"Gosford - Springfield",5376,13425,18802,
"Kariong",1433,4951,6381,
"Kincumber - Picketts Valley",1469,5842,7308,
"Narara",1400,5241,6642,
"Niagara Park - Lisarow",1555,6469,8027,
"Point Clare - Koolewong",1449,4762,6207,
"Saratoga - Davistown",1252,5727,6979,
"Terrigal - North Avoca",3220,10124,13345,
"Umina - Booker Bay - Patonga",5409,18178,23588,
"Wamberal - Forresters Beach",1812,7945,9758,
"Woy Woy - Blackwall",3381,10548,13928,
"Wyoming",2781,8655,11434,
"Bateau Bay - Killarney Vale",3790,18221,22010,
"Blue Haven - San Remo",1731,9315,11044,
"Budgewoi - Buff Point - Halekulani",1671,7733,9405,
"Chittaway Bay - Tumbi Umbi",2505,12847,15353,
"Gorokan - Kanwal - Charmhaven",4537,17575,22114,
"Jilliby - Yarramalong",671,2687,3352,
"Lake Munmorah - Mannering Park",1943,8792,10730,
"Ourimbah - Fountaindale",947,3908,4860,
"Summerland Point - Gwandalan",899,4868,5765,
"The Entrance",3194,11747,14942,
"Toukley - Norah Head",1974,7792,9772,
"Tuggerah - Kangy Angy",1293,4006,5301,
"Warnervale - Wadalba",2934,12289,15219,
"Wyong",2010,6807,8815,
"Bathurst",4057,19777,23830,
"Bathurst - East",1558,9629,11186,
"Bathurst Region",1251,5658,6913,
"Oberon",1020,3640,4663,
"Condobolin",1100,5533,6637,
"Cowra",1368,7780,9144,
"Cowra Region",815,4631,5449,
"Forbes",1446,8721,10166,
"Grenfell",574,3074,3650,
"Parkes (NSW)",1673,9306,10983,
"Parkes Region",569,2819,3383,
"West Wyalong",1063,4868,5929,
"Lithgow",2455,10356,12814,
"Lithgow Region",1849,6416,8262,
"Mudgee",2008,9716,11727,
"Mudgee Region - East",755,2692,3445,
"Mudgee Region - West",2160,8202,10362,
"Wollangambe - Wollemi",0,0,0,
"Blayney",1057,6216,7273,
"Orange",3416,15593,19010,
"Orange - North",3025,16701,19729,
"Orange Region",1676,9925,11607,
"Grafton",2410,16261,18673,
"Grafton Region",2748,12562,15313,
"Maclean - Yamba - Iluka",3004,13279,16283,
"Bellingen",1314,4494,5803,
"Coffs Harbour - North",3965,13495,17464,
"Coffs Harbour - South",2786,7508,10294,
"Coramba - Nana Glen - Bucca",762,3054,3816,
"Dorrigo",649,2598,3245,
"Korora - Emerald Beach",1777,6964,8740,
"Sawtell - Boambee",3292,16182,19474,
"Urunga",798,3867,4667,
"Woolgoolga - Arrawarra",3022,9500,12521,
"Bourke - Brewarrina",840,3163,4000,
"Cobar",932,3725,4657,
"Coonamble",785,3326,4113,
"Nyngan - Warren",851,4118,4971,
"Walgett - Lightning Ridge",1423,4988,6413,
"Broken Hill",2343,15366,17709,
"Far West",497,2013,2507,
"Coonabarabran",1358,6586,7950,
"Dubbo - East",1520,8860,10379,
"Dubbo - South",2773,14167,16942,
"Dubbo - West",1397,7375,8769,
"Dubbo Region",800,4823,5626,
"Gilgandra",587,3785,4376,
"Narromine",965,5569,6537,
"Wellington",1575,7256,8831,
"Branxton - Greta - Pokolbin",1559,8567,10124,
"Cessnock",2916,19081,21995,
"Cessnock Region",1585,6342,7926,
"Dungog",1202,7773,8976,
"Kurri Kurri - Abermain",2192,15446,17639,
"Singleton",2431,13665,16094,
"Singleton Region",1000,3922,4922,
"Maitland",1008,5591,6601,
"Maitland - East",3832,23578,27416,
"Maitland - North",910,6703,7611,
"Maitland - West",3015,19507,22525,
"Thornton - Millers Forest",1091,8914,10003,
"Anna Bay",1203,4521,5726,
"Lemon Tree Passage - Tanilba Bay",1274,5415,6685,
"Nelson Bay Peninsula",4985,16028,21015,
"Raymond Terrace",2178,11651,13825,
"Seaham - Woodville",614,4797,5412,
"Tea Gardens - Hawks Nest",1092,3945,5038,
"Williamtown - Medowie - Karuah",2427,11239,13673,
"Muswellbrook",1832,10242,12072,
"Muswellbrook Region",664,3354,4013,
"Scone",1017,4810,5823,
"Scone Region",1533,6752,8288,
"Dapto - Avondale",5108,18355,23460,
"Horsley - Kembla Grange",1674,6984,8655,
"Port Kembla Industrial",3,8,13,
"Unanderra - Mount Kembla",3754,11620,15374,
"Berkeley - Lake Heights - Cringila",4723,9080,13797,
"Port Kembla - Warrawong",3766,5980,9751,
"Windang - Primbee",1069,3231,4301,
"Illawarra Catchment Reserve",3,3,7,
"Albion Park - Macquarie Pass",2471,11863,14331,
"Albion Park Rail",1444,5469,6918,
"Kiama",1774,5919,7695,
"Kiama Downs - Minnamurra",983,4888,5875,
"Kiama Hinterland - Gerringong",1633,6175,7812,
"Shellharbour - Flinders",3661,13169,16831,
"Shellharbour - Oak Flats",2485,7467,9951,
"Warilla",5442,14980,20422,
"Balgownie - Fairy Meadow",6099,15097,21201,
"Corrimal - Tarrawanna - Bellambi",3717,11704,15421,
"Figtree - Keiraville",5996,15086,21083,
"Helensburgh",1506,7280,8788,
"Thirroul - Austinmer - Coalcliff",2294,9013,11306,
"Woonona - Bulli - Russell Vale",3763,16075,19840,
"Wollongong - East",5736,8234,13968,
"Wollongong - West",6481,10226,16707,
"Bulahdelah - Stroud",809,3917,4725,
"Forster",2621,11641,14270,
"Forster-Tuncurry Region",1224,4861,6085,
"Tuncurry",1197,4989,6182,
"Kempsey",2362,12393,14756,
"Kempsey Region",1723,7305,9024,
"Macksville - Scotts Head",776,4015,4792,
"Nambucca Heads",1432,5318,6752,
"Nambucca Heads Region",1349,6311,7665,
"South West Rocks",864,4270,5133,
"Lord Howe Island",95,285,381,
"Laurieton - Bonny Hills",2959,13783,16743,
"Port Macquarie - East",5259,22789,28050,
"Port Macquarie - West",3733,13599,17326,
"Port Macquarie Region",1041,4253,5293,
"Wauchope",1689,9461,11150,
"Gloucester",780,4246,5033,
"Old Bar - Manning Point - Red Head",1885,8652,10531,
"Taree",3303,17176,20478,
"Taree Region",2283,10159,12444,
"Wingham",792,4579,5374,
"Albury - East",2234,12812,15047,
"Albury - North",1896,7946,9845,
"Albury - South",2129,8171,10302,
"Albury Region",1593,10013,11611,
"Lavington",3045,11427,14473,
"Hay",603,2371,2970,
"Wentworth - Buronga",967,4999,5965,
"Wentworth-Balranald Region",708,2900,3611,
"Corowa",871,4610,5482,
"Corowa Region",1186,5550,6742,
"Deniliquin",1336,6103,7434,
"Deniliquin Region",1075,5679,6751,
"Moama",969,4878,5845,
"Tocumwal - Finley - Jerilderie",1883,7842,9728,
"Armidale",5111,18243,23348,
"Armidale Region - North",671,3821,4490,
"Armidale Region - South",932,5085,6023,
"Walcha",576,2651,3226,
"Glen Innes",1613,7218,8832,
"Inverell",1659,9999,11660,
"Inverell Region - East",1017,4223,5235,
"Inverell Region - West",907,5076,5987,
"Tenterfield",1361,5268,6624,
"Moree",1614,6590,8203,
"Moree Region",962,4494,5451,
"Narrabri",1148,6017,7170,
"Narrabri Region",865,3928,4797,
"Gunnedah",1288,7905,9191,
"Gunnedah Region",583,3551,4133,
"Quirindi",1186,6502,7684,
"Tamworth - East",2955,17413,20372,
"Tamworth - North",2497,12581,15077,
"Tamworth - West",980,4581,5563,
"Tamworth Region",2713,15760,18472,
"Belmont - Bennetts Green",2212,15512,17724,
"Belmont South - Blacksmiths",683,4927,5604,
"Charlestown - Dudley",3536,20427,23965,
"Glendale - Cardiff - Hillsborough",3203,20188,23387,
"Mount Hutton - Windale",1345,7561,8901,
"Redhead",571,2946,3517,
"Swansea - Caves Beach",1721,9826,11546,
"Valentine - Eleebana",1788,10208,11994,
"Warners Bay - Boolaroo",2093,11271,13371,
"Bolton Point - Teralba",1223,7302,8523,
"Bonnells Bay - Silverwater",1448,7269,8719,
"Edgeworth - Cameron Park",1928,12272,14200,
"Morisset - Cooranbong",3009,11950,14963,
"Toronto - Awaba",2112,11317,13425,
"Wangi Wangi - Rathmines",1294,7601,8897,
"West Wallsend - Barnsley - Killingworth",628,5854,6481,
"Adamstown - Kotara",2331,13270,15600,
"Beresfield - Hexham",1233,7122,8358,
