Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",168,78,416,271,557,823,0,251,125,532,649,3875,
"Karabar",192,127,577,553,1252,2383,7,691,208,623,1620,8241,
"Queanbeyan",467,212,1283,804,1479,2769,12,804,315,1021,1671,10838,
"Queanbeyan - East",286,88,639,383,642,1276,0,250,94,322,801,4785,
"Queanbeyan Region",915,468,2082,1466,2267,3517,3,667,366,1626,3568,16945,
"Queanbeyan West - Jerrabomberra",737,328,1479,1095,1578,3062,7,605,250,589,2918,12642,
"Bombala",18,19,162,135,371,671,3,290,60,251,403,2391,
"Cooma",114,87,508,415,1107,1684,6,565,178,1003,1064,6737,
"Cooma Region",72,32,321,236,544,769,6,243,98,394,559,3282,
"Jindabyne - Berridale",176,100,724,565,1371,1592,3,270,208,704,1247,6953,
"Batemans Bay",99,105,441,465,1293,2114,10,722,242,965,1240,7689,
"Batemans Bay - South",172,134,669,603,1377,2148,15,736,273,1048,1194,8361,
"Bega - Tathra",161,137,765,531,1281,2150,6,715,175,928,1559,8405,
"Bega-Eden Hinterland",191,171,814,645,1569,2105,9,650,282,898,1458,8795,
"Broulee - Tomakin",72,94,354,255,570,714,0,276,94,354,495,3287,
"Deua - Wadbilliga",0,0,7,6,4,4,0,3,0,6,0,25,
"Eden",37,26,177,180,480,908,7,347,91,459,500,3218,
"Eurobodalla Hinterland",69,49,253,245,682,831,5,253,100,333,474,3298,
"Merimbula - Tura Beach",203,196,983,808,1788,2845,10,771,353,1196,1461,10621,
"Moruya - Tuross Head",180,143,669,617,1438,1994,12,715,272,854,1076,7968,
"Narooma - Bermagui",187,165,775,660,1536,2213,8,808,328,1155,1141,8979,
"Goulburn",359,246,1416,1573,3652,5847,25,2088,642,2890,4152,22890,
"Goulburn Region",241,158,908,907,2199,3056,11,1144,362,1442,2243,12673,
"Yass",143,98,609,418,953,1632,3,447,172,711,1321,6502,
"Yass Region",587,319,1493,919,1516,2558,8,552,229,909,2417,11508,
"Young",82,86,633,545,1635,2844,13,1132,277,1098,2251,10604,
"Young Region",81,51,480,456,1078,1994,10,853,194,861,1267,7323,
"Avoca Beach - Copacabana",275,158,1077,718,1056,1542,4,292,224,398,1576,7315,
"Box Head - MacMasters Beach",328,202,1268,971,1736,2591,6,637,367,725,1851,10688,
"Calga - Kulnura",109,50,443,385,737,1182,10,332,155,549,746,4703,
"Erina - Green Point",416,200,1535,1184,1898,3554,9,1000,428,1449,2276,13950,
"Gosford - Springfield",586,232,2312,1568,2744,4655,17,1257,595,1715,3105,18802,
"Kariong",112,62,512,547,1057,1666,3,335,198,467,1414,6381,
"Kincumber - Picketts Valley",155,92,650,562,1224,1949,3,608,281,535,1256,7308,
"Narara",163,89,651,548,1173,1744,5,391,202,370,1314,6642,
"Niagara Park - Lisarow",191,112,821,673,1362,2057,4,468,226,453,1668,8027,
"Point Clare - Koolewong",215,109,752,587,958,1499,0,355,194,413,1121,6207,
"Saratoga - Davistown",139,89,685,625,1302,1653,11,441,209,469,1360,6979,
