Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HSCP Highest Year of School Completed"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HSCP Highest Year of School Completed","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",1403,183,827,242,117,6,445,649,3875,
"Karabar",3110,452,1659,472,393,32,501,1620,8241,
"Queanbeyan",4786,503,1839,489,532,86,925,1671,10838,
"Queanbeyan - East",2337,274,766,192,127,17,265,801,4785,
"Queanbeyan Region",7633,791,2556,610,304,24,1457,3568,16945,
"Queanbeyan West - Jerrabomberra",5957,652,1859,480,271,14,496,2918,12642,
"Bombala",663,154,597,205,171,20,190,403,2391,
"Cooma",2083,386,1562,458,323,24,831,1064,6737,
"Cooma Region",1132,182,738,219,124,4,324,559,3282,
"Jindabyne - Berridale",2981,428,1295,260,140,9,602,1247,6953,
"Batemans Bay",2086,484,2085,641,387,15,753,1240,7689,
"Batemans Bay - South",2655,514,2084,643,408,11,853,1194,8361,
"Bega - Tathra",2598,598,1953,545,388,12,753,1559,8405,
"Bega-Eden Hinterland",2762,646,2211,586,387,20,719,1458,8795,
"Broulee - Tomakin",1182,196,740,264,125,5,278,495,3287,
"Deua - Wadbilliga",12,0,0,0,4,0,6,0,25,
"Eden",791,250,812,261,208,12,392,500,3218,
"Eurobodalla Hinterland",1010,208,934,259,156,4,257,474,3298,
"Merimbula - Tura Beach",3604,991,2442,699,430,12,963,1461,10621,
"Moruya - Tuross Head",2598,498,2057,655,400,18,668,1076,7968,
"Narooma - Bermagui",2884,588,2243,717,447,23,935,1141,8979,
"Goulburn",6488,1235,5655,1702,1050,107,2501,4152,22890,
"Goulburn Region",3687,682,3257,929,667,37,1166,2243,12673,
"Yass",2274,384,1323,358,231,19,588,1321,6502,
"Yass Region",5068,588,1937,478,278,20,725,2417,11508,
"Young",2548,689,2731,843,596,46,890,2251,10604,
"Young Region",1978,409,1877,647,450,34,673,1267,7323,
"Avoca Beach - Copacabana",3254,375,1377,307,116,8,305,1576,7315,
"Box Head - MacMasters Beach",4276,564,2505,677,273,21,525,1851,10688,
"Calga - Kulnura",1633,235,1145,281,176,15,469,746,4703,
"Erina - Green Point",5233,690,3119,932,449,33,1218,2276,13950,
"Gosford - Springfield",7731,980,3800,1089,615,50,1432,3105,18802,
"Kariong",2317,368,1399,321,162,18,388,1414,6381,
"Kincumber - Picketts Valley",2518,415,1897,576,253,10,392,1256,7308,
"Narara",2530,405,1523,375,174,35,285,1314,6642,
"Niagara Park - Lisarow",3069,497,1804,427,224,7,329,1668,8027,
"Point Clare - Koolewong",2553,325,1359,373,156,21,309,1121,6207,
"Saratoga - Davistown",2498,392,1698,487,178,7,359,1360,6979,
"Terrigal - North Avoca",6075,724,2683,602,236,21,637,2380,13345,
"Umina - Booker Bay - Patonga",7378,1315,6105,1979,1000,49,1909,3856,23588,
"Wamberal - Forresters Beach",4014,520,2009,466,201,13,434,2104,9758,
"Woy Woy - Blackwall",4502,792,3503,1180,649,45,1136,2125,13928,
"Wyoming",3951,707,2547,782,414,24,922,2083,11434,
"Bateau Bay - Killarney Vale",6495,1296,5800,1643,913,46,1657,4158,22010,
"Blue Haven - San Remo",2541,733,3134,980,498,24,551,2586,11044,
"Budgewoi - Buff Point - Halekulani",2270,591,2823,868,478,28,717,1630,9405,
"Chittaway Bay - Tumbi Umbi",4898,917,4079,1111,495,27,788,3037,15353,
"Gorokan - Kanwal - Charmhaven",5361,1367,5978,1958,1139,49,2280,3982,22114,
"Jilliby - Yarramalong",1195,165,811,183,90,8,269,631,3352,
"Lake Munmorah - Mannering Park",2461,643,3462,1151,504,7,818,1691,10730,
"Ourimbah - Fountaindale",1914,285,1119,250,128,9,182,965,4860,
"Summerland Point - Gwandalan",1437,352,1864,549,226,17,284,1037,5765,
"The Entrance",4352,801,4067,1241,674,30,1416,2359,14942,
"Toukley - Norah Head",2393,534,2862,820,500,28,1120,1507,9772,
"Tuggerah - Kangy Angy",1838,304,1224,332,132,3,339,1123,5301,
"Warnervale - Wadalba",4521,912,3616,1004,541,126,698,3800,15219,
"Wyong",2399,546,2264,759,454,35,679,1687,8815,
"Bathurst",8683,1256,4966,1366,857,50,2340,4313,23830,
"Bathurst - East",3425,616,2574,734,407,37,685,2713,11186,
"Bathurst Region",2143,365,1658,416,209,17,891,1225,6913,
"Oberon",1155,240,1265,340,239,12,612,795,4663,
"Condobolin",1607,341,1578,493,399,36,755,1426,6637,
"Cowra",2128,499,2521,860,644,25,846,1631,9144,
"Cowra Region",1317,288,1554,493,355,20,438,977,5449,
"Forbes",2581,619,2539,807,599,30,962,2032,10166,
"Grenfell",923,198,990,331,223,0,371,608,3650,
"Parkes (NSW)",2754,661,2799,787,558,19,1106,2290,10983,
"Parkes Region",842,185,875,283,195,11,362,630,3383,
"West Wyalong",1311,307,1591,472,316,8,699,1221,5929,
"Lithgow",2995,736,3579,1072,685,39,1564,2141,12814,
"Lithgow Region",1949,451,2344,634,412,15,1010,1443,8262,
"Mudgee",3358,739,2807,723,488,24,1008,2592,11727,
"Mudgee Region - East",737,211,930,299,269,9,435,554,3445,
"Mudgee Region - West",2541,522,2637,833,529,24,1238,2035,10362,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,
"Blayney",2046,395,1892,496,347,10,580,1507,7273,
"Orange",5787,1003,4458,1438,1091,71,1678,3473,19010,
"Orange - North",6745,1051,4281,1101,624,68,1099,4764,19729,
"Orange Region",3684,605,2764,711,449,15,826,2545,11607,
"Grafton",4581,989,5119,1573,1094,52,1777,3478,18673,
"Grafton Region",3620,899,4555,1403,881,48,1393,2510,15313,
"Maclean - Yamba - Iluka",4460,1006,4740,1472,880,22,1462,2240,16283,
"Bellingen",2178,332,1138,319,173,11,420,1234,5803,
"Coffs Harbour - North",5245,1093,4249,1306,815,118,1427,3204,17464,
"Coffs Harbour - South",3270,607,2239,703,507,80,1277,1605,10294,
"Coramba - Nana Glen - Bucca",1158,235,985,234,140,9,306,749,3816,
"Dorrigo",925,199,806,298,168,6,328,512,3245,
"Korora - Emerald Beach",3351,531,1934,453,191,12,478,1792,8740,
"Sawtell - Boambee",6027,1247,4942,1505,890,39,1195,3636,19474,
"Urunga",1356,288,1308,439,224,9,390,648,4667,
"Woolgoolga - Arrawarra",3906,749,3064,923,507,91,1044,2241,12521,
"Bourke - Brewarrina",818,236,766,344,246,23,633,932,4000,
"Cobar",1065,316,1125,324,241,14,543,1031,4657,
"Coonamble",942,243,848,304,277,26,615,856,4113,
"Nyngan - Warren",1263,260,1205,400,251,20,565,1005,4971,
"Walgett - Lightning Ridge",1489,391,1398,534,477,55,792,1287,6413,
"Broken Hill",3671,1131,4881,1754,1349,43,1929,2944,17709,
"Far West",518,174,530,218,196,8,386,475,2507,
"Coonabarabran",1963,443,2088,692,527,15,820,1406,7950,
"Dubbo - East",3083,616,2558,687,469,41,757,2174,10379,
"Dubbo - South",5656,932,3903,1006,676,44,1267,3466,16942,
"Dubbo - West",2458,535,2113,614,329,27,683,2015,8769,
"Dubbo Region",1633,286,1452,361,214,7,481,1190,5626,
"Gilgandra",986,233,1167,410,330,10,409,821,4376,
"Narromine",1647,357,1609,518,343,20,638,1414,6537,
"Wellington",1905,409,1986,764,498,20,1643,1606,8831,
"Branxton - Greta - Pokolbin",2734,607,2692,763,342,19,671,2297,10124,
"Cessnock",4528,1374,5893,2076,1205,56,2494,4366,21995,
"Cessnock Region",2095,488,2101,584,305,8,800,1538,7926,
"Dungog",2324,504,2637,702,422,14,711,1662,8976,
"Kurri Kurri - Abermain",3409,1029,5379,1918,978,33,1288,3605,17639,
"Singleton",4423,1177,4258,1162,637,24,953,3449,16094,
"Singleton Region",1153,294,1355,348,176,8,578,1015,4922,
"Maitland",1970,408,1572,496,285,21,484,1374,6601,
"Maitland - East",8444,1633,7008,2129,1010,59,1477,5661,27416,
"Maitland - North",2706,432,1775,446,157,11,359,1726,7611,
"Maitland - West",5689,1476,6195,1790,818,47,1318,5196,22525,
"Thornton - Millers Forest",3079,592,2763,672,300,18,292,2292,10003,
"Anna Bay",1600,407,1537,472,195,21,551,938,5726,
"Lemon Tree Passage - Tanilba Bay",1557,406,2025,679,289,3,539,1186,6685,
"Nelson Bay Peninsula",6704,1334,5514,1558,722,93,1937,3154,21015,
"Raymond Terrace",3201,829,3824,1341,666,31,1070,2852,13825,
"Seaham - Woodville",1685,306,1546,374,138,7,274,1090,5412,
"Tea Gardens - Hawks Nest",1454,324,1641,530,230,17,369,485,5038,
"Williamtown - Medowie - Karuah",3842,832,3585,1033,416,17,1090,2854,13673,
"Muswellbrook",2788,811,3139,967,535,27,1039,2765,12072,
"Muswellbrook Region",897,240,1134,328,197,9,356,862,4013,
"Scone",1684,314,1391,395,290,15,518,1219,5823,
"Scone Region",2045,427,2182,654,422,21,850,1692,8288,
"Dapto - Avondale",6274,1453,6823,2075,1115,82,1224,4418,23460,
"Horsley - Kembla Grange",2768,538,2169,535,224,25,320,2073,8655,
"Port Kembla Industrial",0,0,0,0,0,0,4,0,13,
"Unanderra - Mount Kembla",5564,808,3452,867,683,95,1034,2882,15374,
"Berkeley - Lake Heights - Cringila",3727,780,3256,1002,1131,244,963,2694,13797,
"Port Kembla - Warrawong",2489,551,2198,644,1058,232,804,1767,9751,
"Windang - Primbee",1093,233,1226,437,334,24,370,588,4301,
"Illawarra Catchment Reserve",3,0,0,3,0,0,0,0,7,
