Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HIED Equivalised Total Household Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HIED Equivalised Total Household Income (weekly)","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800 - $25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000 or more ($156,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"SA2",
"Braidwood",18,21,70,137,191,177,112,158,157,93,65,45,49,21,40,145,45,228,1768,
"Karabar",23,23,103,168,279,221,259,350,402,330,262,192,162,49,64,228,77,145,3357,
"Queanbeyan",47,38,124,255,440,381,394,518,670,498,397,278,297,62,98,260,119,438,5309,
"Queanbeyan - East",22,8,53,114,157,165,180,238,296,207,178,111,143,39,73,137,35,133,2291,
"Queanbeyan Region",41,27,83,108,197,252,337,473,665,617,554,482,661,261,355,555,80,522,6271,
"Queanbeyan West - Jerrabomberra",25,18,65,106,167,199,235,317,508,491,450,392,523,214,255,424,43,143,4573,
"Bombala",14,16,65,78,133,96,87,124,93,69,33,30,21,7,12,61,40,91,1074,
"Cooma",23,31,125,246,396,334,285,288,287,149,124,75,79,12,45,214,108,199,3030,
"Cooma Region",12,13,48,103,143,132,122,143,126,101,63,54,46,24,25,100,29,215,1494,
"Jindabyne - Berridale",27,27,66,129,206,227,272,328,360,244,153,111,97,23,41,252,51,1634,4245,
"Batemans Bay",42,31,151,294,568,490,386,325,253,139,81,50,42,6,37,207,131,326,3568,
"Batemans Bay - South",44,33,137,286,551,471,426,427,316,169,120,68,72,7,37,238,134,307,3841,
"Bega - Tathra",29,29,152,266,491,410,369,404,337,187,118,97,72,17,52,274,98,311,3720,
"Bega-Eden Hinterland",54,72,200,349,545,433,350,395,313,165,114,65,62,21,34,350,83,292,3883,
"Broulee - Tomakin",14,13,42,85,188,184,153,145,142,78,57,28,50,0,23,99,32,145,1490,
"Deua - Wadbilliga",0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,13,
"Eden",21,19,83,138,234,162,160,139,91,61,40,18,18,0,0,118,55,134,1502,
"Eurobodalla Hinterland",19,19,73,120,216,153,143,155,125,77,43,17,24,6,25,136,33,140,1525,
"Merimbula - Tura Beach",50,33,169,330,704,620,509,543,423,269,151,120,110,25,55,308,142,455,5003,
"Moruya - Tuross Head",30,46,179,323,605,473,400,396,280,148,122,63,43,16,41,264,96,254,3771,
"Narooma - Bermagui",48,46,174,409,726,578,422,419,298,145,100,66,61,6,41,262,140,451,4392,
"Goulburn",79,103,380,698,1187,1019,846,1025,998,629,472,332,279,52,101,615,279,550,9657,
"Goulburn Region",80,59,199,374,588,538,445,489,472,348,224,182,169,48,104,428,154,449,5351,
"Yass",12,21,71,128,284,237,221,265,316,211,171,115,126,24,43,182,63,168,2659,
"Yass Region",30,15,94,132,237,302,322,369,450,331,338,308,393,154,246,361,70,270,4424,
"Young",53,52,250,368,643,532,494,461,359,179,115,108,59,19,39,308,143,267,4442,
"Young Region",43,48,116,250,539,341,284,312,291,143,99,58,76,25,60,251,133,232,3314,
"Avoca Beach - Copacabana",24,21,44,121,157,205,222,302,325,262,199,151,160,55,69,285,41,130,2758,
"Box Head - MacMasters Beach",46,32,115,218,483,448,397,453,467,302,238,202,196,75,110,356,117,198,4459,
"Calga - Kulnura",32,14,55,100,157,154,170,191,222,140,80,69,75,33,66,162,40,218,1985,
"Erina - Green Point",61,37,137,320,698,669,485,567,586,365,294,261,250,87,130,442,180,185,5759,
"Gosford - Springfield",96,73,356,598,950,862,818,879,922,603,467,327,323,76,147,545,227,630,8895,
"Kariong",14,13,59,91,178,188,191,275,286,210,151,99,86,24,22,202,38,80,2226,
"Kincumber - Picketts Valley",40,17,96,217,483,353,310,334,277,212,135,101,95,26,37,231,106,82,3154,
"Narara",19,17,74,119,207,272,260,283,348,231,147,98,91,28,22,208,43,73,2549,
"Niagara Park - Lisarow",20,15,85,133,254,292,288,379,349,273,179,124,137,29,31,245,43,85,2975,
"Point Clare - Koolewong",25,20,76,123,256,306,260,275,312,181,153,125,108,32,53,198,44,81,2625,
"Saratoga - Davistown",24,23,60,135,309,269,248,319,326,218,162,124,118,33,30,255,53,90,2810,
"Terrigal - North Avoca",71,33,123,217,420,461,412,520,574,467,386,312,353,128,183,482,87,223,5448,
"Umina - Booker Bay - Patonga",146,77,366,695,1548,1273,1059,1127,1016,667,394,275,267,70,135,749,323,528,10708,
"Wamberal - Forresters Beach",40,22,53,123,263,275,278,433,460,310,266,210,215,73,79,366,71,140,3669,
"Woy Woy - Blackwall",85,65,237,518,893,760,619,592,574,362,287,188,172,48,86,393,277,307,6449,
"Wyoming",48,36,167,300,549,544,483,517,530,331,185,118,110,20,39,349,143,208,4664,
"Bateau Bay - Killarney Vale",82,58,315,589,1117,1014,912,1043,1010,553,383,263,204,49,76,656,284,377,8983,
"Blue Haven - San Remo",38,25,191,318,558,560,458,534,464,230,168,80,54,10,20,340,97,134,4271,
"Budgewoi - Buff Point - Halekulani",58,39,149,311,670,527,401,485,369,220,139,88,59,17,27,291,171,187,4220,
"Chittaway Bay - Tumbi Umbi",63,37,144,280,630,643,576,753,690,503,331,223,192,49,70,476,131,164,5926,
"Gorokan - Kanwal - Charmhaven",113,80,368,702,1374,1163,912,1052,923,496,292,198,120,26,53,618,365,541,9407,
"Jilliby - Yarramalong",11,13,25,35,73,81,112,115,140,105,80,48,59,31,47,112,25,99,1213,
"Lake Munmorah - Mannering Park",45,28,172,299,858,681,459,507,412,241,164,90,87,18,29,309,205,171,4782,
