Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"SA2",
"Braidwood",37,6,5,15,10,15,3,14,15,32,19,38,17,20,4,16,5,0,3,0,0,0,0,14,1483,1768,
"Karabar",22,7,6,64,34,71,52,71,39,47,30,59,32,86,48,107,46,90,17,9,3,0,0,41,2377,3357,
"Queanbeyan",47,14,14,62,27,106,113,246,156,234,128,205,98,196,132,152,67,141,26,0,0,4,10,46,3067,5309,
"Queanbeyan - East",14,4,8,15,8,48,86,125,80,101,55,107,50,60,39,51,25,72,18,0,3,0,0,24,1300,2291,
"Queanbeyan Region",51,9,3,20,6,15,6,22,8,46,15,38,20,50,23,44,19,109,89,42,10,3,6,27,5599,6271,
"Queanbeyan West - Jerrabomberra",16,0,4,17,8,23,20,36,37,73,12,116,95,83,36,89,53,180,111,42,11,10,0,25,3468,4573,
"Bombala",35,12,19,14,14,35,16,41,3,15,0,0,0,0,0,0,0,0,0,0,0,0,3,11,852,1074,
"Cooma",45,5,17,54,46,91,52,112,82,153,74,57,14,29,5,14,0,5,0,0,0,0,4,25,2141,3030,
"Cooma Region",43,4,6,9,5,17,5,16,4,14,5,3,0,5,0,0,0,0,0,0,0,0,10,21,1306,1494,
"Jindabyne - Berridale",84,6,0,21,18,53,36,72,34,74,43,64,23,50,28,66,15,33,31,36,24,37,174,54,3165,4245,
"Batemans Bay",16,6,9,66,25,71,41,96,82,114,88,134,64,91,46,44,13,15,0,6,4,0,0,49,2483,3568,
"Batemans Bay - South",21,5,4,17,13,54,38,87,55,120,81,115,66,119,50,55,16,19,3,0,5,0,0,24,2852,3841,
"Bega - Tathra",24,12,17,59,28,48,45,90,41,112,87,149,69,84,35,18,4,10,3,3,3,0,0,35,2748,3720,
"Bega-Eden Hinterland",93,17,0,34,18,24,22,61,28,52,16,41,13,15,0,9,0,4,0,0,0,0,5,22,3392,3883,
"Broulee - Tomakin",23,5,6,4,8,22,11,16,15,42,11,37,18,25,13,21,0,14,0,0,3,0,0,12,1193,1490,
"Deua - Wadbilliga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,
"Eden",16,6,3,44,17,40,22,53,34,58,41,52,22,35,9,0,4,6,0,0,0,0,0,8,1024,1502,
"Eurobodalla Hinterland",45,10,3,17,11,31,13,26,0,21,13,14,3,11,3,6,4,5,0,0,0,0,0,11,1285,1525,
"Merimbula - Tura Beach",38,4,9,38,16,53,68,114,75,109,71,97,58,116,67,48,22,38,3,5,0,3,7,47,3878,5003,
"Moruya - Tuross Head",43,13,6,49,13,56,52,73,58,110,45,116,46,66,10,22,4,17,0,3,0,0,3,29,2956,3771,
"Narooma - Bermagui",52,11,11,62,25,77,66,123,80,88,69,105,34,31,6,12,3,6,5,0,0,0,11,40,3470,4392,
"Goulburn",64,48,50,212,99,234,163,240,140,341,252,415,164,205,96,123,39,57,6,0,0,0,3,106,6607,9657,
