Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by CHCAREP Unpaid Child Care"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"CHCAREP Unpaid Child Care","Did not provide child care","Cared for own child/children","Cared for other child/children","Cared for own child/children and other child/children","Not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",2015,520,241,18,437,649,3875,
"Karabar",4248,1299,536,55,475,1620,8241,
"Queanbeyan",6114,1581,591,52,830,1671,10838,
"Queanbeyan - East",2666,767,246,25,282,801,4785,
"Queanbeyan Region",7813,2935,1043,131,1452,3568,16945,
"Queanbeyan West - Jerrabomberra",5948,2534,686,74,494,2918,12642,
"Bombala",1329,321,120,11,206,403,2391,
"Cooma",3606,888,349,27,805,1064,6737,
"Cooma Region",1771,477,170,16,287,559,3282,
"Jindabyne - Berridale",3546,1175,317,39,631,1247,6953,
"Batemans Bay",4411,855,418,42,724,1240,7689,
"Batemans Bay - South",4917,959,444,42,798,1194,8361,
"Bega - Tathra",4308,1235,554,54,693,1559,8405,
"Bega-Eden Hinterland",4824,1222,510,57,720,1458,8795,
"Broulee - Tomakin",1897,434,165,26,271,495,3287,
"Deua - Wadbilliga",13,0,4,0,6,0,25,
"Eden",1811,378,192,30,306,500,3218,
"Eurobodalla Hinterland",1931,379,218,20,275,474,3298,
"Merimbula - Tura Beach",6337,1278,607,50,880,1461,10621,
"Moruya - Tuross Head",4898,882,458,31,629,1076,7968,
"Narooma - Bermagui",5571,878,469,42,871,1141,8979,
"Goulburn",11395,3394,1449,164,2336,4152,22890,
"Goulburn Region",6641,1808,829,73,1069,2243,12673,
"Yass",3076,1030,460,55,568,1321,6502,
"Yass Region",5449,2037,758,81,759,2417,11508,
"Young",5246,1563,629,77,833,2251,10604,
"Young Region",4042,955,412,28,618,1267,7323,
"Avoca Beach - Copacabana",3388,1429,524,81,318,1576,7315,
"Box Head - MacMasters Beach",5646,1717,881,66,518,1851,10688,
"Calga - Kulnura",2517,675,296,28,444,746,4703,
"Erina - Green Point",7764,1995,949,92,874,2276,13950,
"Gosford - Springfield",10123,2922,1123,144,1384,3105,18802,
"Kariong",2999,1210,314,53,383,1414,6381,
"Kincumber - Picketts Valley",4036,1118,475,54,375,1256,7308,
"Narara",3285,1203,490,44,296,1314,6642,
"Niagara Park - Lisarow",3886,1502,570,81,312,1668,8027,
"Point Clare - Koolewong",3325,1033,407,42,274,1121,6207,
"Saratoga - Davistown",3414,1204,562,55,385,1360,6979,
"Terrigal - North Avoca",7025,2167,1045,106,629,2380,13345,
"Umina - Booker Bay - Patonga",12758,3345,1651,173,1811,3856,23588,
"Wamberal - Forresters Beach",4498,1814,795,96,456,2104,9758,
"Woy Woy - Blackwall",7875,1886,903,87,1055,2125,13928,
"Wyoming",6002,1697,747,104,791,2083,11434,
"Bateau Bay - Killarney Vale",11028,3543,1541,176,1565,4158,22010,
"Blue Haven - San Remo",5043,2049,709,105,553,2586,11044,
"Budgewoi - Buff Point - Halekulani",4959,1402,704,64,652,1630,9405,
"Chittaway Bay - Tumbi Umbi",7644,2675,1093,142,761,3037,15353,
"Gorokan - Kanwal - Charmhaven",11433,3135,1494,142,1928,3982,22114,
"Jilliby - Yarramalong",1595,561,274,17,273,631,3352,
"Lake Munmorah - Mannering Park",6046,1403,777,71,739,1691,10730,
"Ourimbah - Fountaindale",2439,846,368,46,188,965,4860,
"Summerland Point - Gwandalan",3056,938,425,37,270,1037,5765,
"The Entrance",8177,2000,1013,97,1297,2359,14942,
"Toukley - Norah Head",5326,1258,638,60,983,1507,9772,
"Tuggerah - Kangy Angy",2528,962,305,35,339,1123,5301,
"Warnervale - Wadalba",6542,3122,904,164,684,3800,15219,
"Wyong",4510,1327,572,49,666,1687,8815,
"Bathurst",11897,3514,1572,173,2356,4313,23830,
"Bathurst - East",4860,2114,745,83,670,2713,11186,
"Bathurst Region",3251,1032,494,32,886,1225,6913,
"Oberon",2297,623,310,22,619,795,4663,
"Condobolin",3104,942,379,45,735,1426,6637,
"Cowra",4944,1164,558,58,790,1631,9144,
"Cowra Region",2966,727,299,35,444,977,5449,
"Forbes",5153,1420,566,70,934,2032,10166,
"Grenfell",1953,492,232,13,351,608,3650,
"Parkes (NSW)",5237,1673,648,83,1044,2290,10983,
"Parkes Region",1760,467,175,8,345,630,3383,
"West Wyalong",2777,838,371,34,687,1221,5929,
"Lithgow",6492,1729,853,80,1519,2141,12814,
