Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by LFSP Labour Force Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LFSP Labour Force Status","Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work","Not in the labour force","Not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",968,562,115,38,32,1132,377,649,3875,
"Karabar",2857,1091,240,108,97,1843,389,1620,8241,
"Queanbeyan",3889,1383,334,201,107,2558,694,1671,10838,
"Queanbeyan - East",1878,636,129,79,57,949,246,801,4785,
"Queanbeyan Region",5965,2271,570,143,120,3032,1265,3568,16945,
"Queanbeyan West - Jerrabomberra",4965,1811,348,134,126,1935,406,2918,12642,
"Bombala",672,330,64,32,15,727,145,403,2391,
"Cooma",1715,1018,167,94,50,2130,502,1064,6737,
"Cooma Region",992,491,86,34,25,853,239,559,3282,
"Jindabyne - Berridale",2550,1128,221,49,28,1213,525,1247,6953,
"Batemans Bay",1294,1086,155,146,81,3109,581,1240,7689,
"Batemans Bay - South",1435,1239,184,166,106,3386,653,1194,8361,
"Bega - Tathra",1914,1338,227,106,72,2664,534,1559,8405,
"Bega-Eden Hinterland",1944,1493,267,131,100,2840,558,1458,8795,
"Broulee - Tomakin",676,496,65,32,25,1276,226,495,3287,
"Deua - Wadbilliga",6,3,0,0,0,8,6,0,25,
"Eden",607,470,77,57,33,1232,251,500,3218,
"Eurobodalla Hinterland",697,615,86,63,38,1115,202,474,3298,
"Merimbula - Tura Beach",2150,1674,272,104,96,4181,677,1461,10621,
"Moruya - Tuross Head",1426,1243,212,137,71,3311,496,1076,7968,
"Narooma - Bermagui",1326,1334,186,98,79,4138,678,1141,8979,
"Goulburn",6032,3119,561,436,267,6938,1391,4152,22890,
"Goulburn Region",3475,1877,353,155,102,3587,881,2243,12673,
"Yass",1836,920,201,44,59,1637,483,1321,6502,
"Yass Region",3840,1768,404,89,84,2326,576,2417,11508,
"Young",2423,1506,256,184,93,3275,614,2251,10604,
"Young Region",1962,961,185,100,57,2305,488,1267,7323,
