Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by ENGP Proficiency in Spoken English"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"ENGP Proficiency in Spoken English","Very well","Well","Not well","Not at all","Not stated - both language (LANP) and proficiency (ENGP) not stated","Not stated - language (LANP) stated, proficiency (ENGP) not stated","Not applicable","Total",
"SA2 (UR)",
"Braidwood",92,30,7,10,434,0,3303,3875,
"Karabar",673,310,128,21,447,11,6655,8241,
"Queanbeyan",1267,695,260,62,792,51,7718,10838,
"Queanbeyan - East",544,314,82,37,274,19,3519,4785,
"Queanbeyan Region",761,181,49,31,1549,8,14366,16945,
"Queanbeyan West - Jerrabomberra",973,271,85,25,486,14,10782,12642,
"Bombala",44,16,8,0,162,6,2155,2391,
"Cooma",285,125,43,5,698,7,5572,6737,
"Cooma Region",77,36,4,4,275,0,2883,3282,
"Jindabyne - Berridale",270,88,42,4,585,12,5953,6953,
"Batemans Bay",240,90,28,16,520,12,6801,7689,
"Batemans Bay - South",273,104,40,10,616,3,7315,8361,
"Bega - Tathra",203,52,16,7,647,8,7482,8405,
"Bega-Eden Hinterland",152,39,8,7,599,0,7986,8795,
"Broulee - Tomakin",69,24,7,0,249,0,2928,3287,
"Deua - Wadbilliga",0,0,0,0,9,0,20,25,
"Eden",74,30,6,3,280,3,2818,3218,
"Eurobodalla Hinterland",78,6,0,0,221,0,2984,3298,
"Merimbula - Tura Beach",279,79,25,8,713,9,9508,10621,
"Moruya - Tuross Head",167,77,24,4,485,3,7205,7968,
"Narooma - Bermagui",259,78,21,11,695,7,7904,8979,
"Goulburn",655,287,156,45,1890,27,19832,22890,
"Goulburn Region",283,94,27,3,972,9,11277,12673,
"Yass",162,44,11,4,397,4,5874,6502,
"Yass Region",287,69,27,6,716,13,10399,11508,
"Young",303,91,48,10,673,5,9469,10604,
"Young Region",148,37,16,3,467,3,6652,7323,
"Avoca Beach - Copacabana",311,55,19,5,313,5,6609,7315,
"Box Head - MacMasters Beach",324,76,31,17,425,4,9812,10688,
"Calga - Kulnura",265,94,41,9,448,3,3846,4703,
"Erina - Green Point",674,263,126,27,744,13,12110,13950,
"Gosford - Springfield",1476,627,290,106,1211,34,15056,18802,
"Kariong",351,135,51,17,358,4,5468,6381,
"Kincumber - Picketts Valley",215,53,15,18,265,0,6747,7308,
"Narara",364,116,55,21,220,8,5863,6642,
"Niagara Park - Lisarow",309,84,39,10,267,4,7302,8027,
"Point Clare - Koolewong",335,110,55,20,202,5,5481,6207,
"Saratoga - Davistown",173,36,18,4,290,0,6465,6979,
"Terrigal - North Avoca",635,176,52,25,542,8,11903,13345,
"Umina - Booker Bay - Patonga",934,344,112,38,1464,21,20672,23588,
"Wamberal - Forresters Beach",291,81,19,12,416,5,8937,9758,
"Woy Woy - Blackwall",634,268,108,32,813,12,12061,13928,
"Wyoming",564,256,92,22,749,9,9735,11434,
"Bateau Bay - Killarney Vale",507,189,65,20,1247,7,19962,22010,
"Blue Haven - San Remo",314,116,47,21,450,10,10095,11044,
"Budgewoi - Buff Point - Halekulani",198,57,33,7,522,3,8584,9405,
