Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by HOSD Housing Suitability"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"HOSD Housing Suitability","Four or more extra bedrooms needed","Three extra bedrooms needed","Two extra bedrooms needed","One extra bedroom needed","No bedrooms needed or spare","One bedroom spare","Two bedrooms spare","Three bedrooms spare","Four or more bedrooms spare","Unable to determine","Not stated","Not applicable","Total",
"SA2",
"Braidwood",3,0,5,51,264,442,489,159,34,46,49,228,1768,
"Karabar",0,9,17,76,562,947,1001,326,66,128,87,145,3357,
"Queanbeyan",0,6,25,166,1386,1798,962,228,49,126,135,438,5309,
"Queanbeyan - East",0,0,7,105,571,753,396,166,32,62,56,133,2291,
"Queanbeyan Region",0,3,26,120,575,1433,1860,1131,264,241,88,522,6271,
"Queanbeyan West - Jerrabomberra",0,0,12,62,491,1326,1467,728,90,204,48,143,4573,
"Bombala",0,0,4,12,143,271,355,121,32,24,25,91,1074,
"Cooma",0,0,11,34,409,861,945,307,71,89,101,199,3030,
"Cooma Region",0,0,10,15,158,317,451,228,48,26,23,215,1494,
"Jindabyne - Berridale",5,3,20,67,420,748,742,261,140,78,124,1634,4245,
"Batemans Bay",0,0,14,82,466,926,1080,432,68,87,92,326,3568,
"Batemans Bay - South",0,4,11,78,398,885,1310,571,109,74,90,307,3841,
"Bega - Tathra",0,0,8,80,496,1045,1098,414,47,114,102,311,3720,
"Bega-Eden Hinterland",0,0,25,98,561,963,1180,438,97,143,89,292,3883,
"Broulee - Tomakin",0,0,5,21,156,428,473,164,20,44,33,145,1490,
"Deua - Wadbilliga",0,0,0,0,0,4,6,6,0,0,0,3,13,
"Eden",0,4,4,24,186,415,457,155,17,60,48,134,1502,
"Eurobodalla Hinterland",6,4,9,49,200,389,432,162,34,65,47,140,1525,
"Merimbula - Tura Beach",0,0,9,79,602,1387,1615,520,83,115,135,455,5003,
