Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SA2 by RA"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"RA","Major Cities of Australia (NSW)","Inner Regional Australia (NSW)","Outer Regional Australia (NSW)","Remote Australia (NSW)","Very Remote Australia (NSW)","Major Cities of Australia (ACT)","Inner Regional Australia (ACT)","Total",
"SA2",
"Braidwood",0,1287,482,0,0,0,0,1768,
"Karabar",3357,0,0,0,0,0,0,3357,
"Queanbeyan",5309,0,0,0,0,0,0,5309,
"Queanbeyan - East",2291,0,0,0,0,0,0,2291,
"Queanbeyan Region",323,5949,0,0,0,0,0,6271,
"Queanbeyan West - Jerrabomberra",4573,0,0,0,0,0,0,4573,
"Bombala",0,0,1074,0,0,0,0,1074,
"Cooma",0,3030,0,0,0,0,0,3030,
"Cooma Region",0,741,754,0,0,0,0,1494,
"Jindabyne - Berridale",0,0,4245,0,0,0,0,4245,
"Batemans Bay",0,3568,0,0,0,0,0,3568,
"Batemans Bay - South",0,3841,0,0,0,0,0,3841,
"Bega - Tathra",0,0,3720,0,0,0,0,3720,
"Bega-Eden Hinterland",0,0,3883,0,0,0,0,3883,
"Broulee - Tomakin",0,1490,0,0,0,0,0,1490,
"Deua - Wadbilliga",0,0,13,0,0,0,0,13,
"Eden",0,0,1502,0,0,0,0,1502,
"Eurobodalla Hinterland",0,1050,475,0,0,0,0,1525,
"Merimbula - Tura Beach",0,0,5003,0,0,0,0,5003,
"Moruya - Tuross Head",0,2506,1268,0,0,0,0,3771,
"Narooma - Bermagui",0,0,4392,0,0,0,0,4392,
"Goulburn",0,9657,0,0,0,0,0,9657,
"Goulburn Region",0,4696,656,0,0,0,0,5351,
"Yass",0,2659,0,0,0,0,0,2659,
"Yass Region",203,4085,132,0,0,0,0,4424,
"Young",0,4442,0,0,0,0,0,4442,
"Young Region",0,2161,1148,0,0,0,0,3314,
"Avoca Beach - Copacabana",2758,0,0,0,0,0,0,2758,
"Box Head - MacMasters Beach",4459,0,0,0,0,0,0,4459,
"Calga - Kulnura",177,1800,0,0,0,0,0,1985,
"Erina - Green Point",5759,0,0,0,0,0,0,5759,
"Gosford - Springfield",8895,0,0,0,0,0,0,8895,
"Kariong",2226,0,0,0,0,0,0,2226,
"Kincumber - Picketts Valley",3154,0,0,0,0,0,0,3154,
"Narara",2549,0,0,0,0,0,0,2549,
"Niagara Park - Lisarow",2975,0,0,0,0,0,0,2975,
"Point Clare - Koolewong",2625,0,0,0,0,0,0,2625,
"Saratoga - Davistown",2810,0,0,0,0,0,0,2810,
"Terrigal - North Avoca",5448,0,0,0,0,0,0,5448,
"Umina - Booker Bay - Patonga",10708,0,0,0,0,0,0,10708,
"Wamberal - Forresters Beach",3669,0,0,0,0,0,0,3669,
"Woy Woy - Blackwall",6449,0,0,0,0,0,0,6449,
"Wyoming",4664,0,0,0,0,0,0,4664,
"Bateau Bay - Killarney Vale",8983,0,0,0,0,0,0,8983,
"Blue Haven - San Remo",4271,0,0,0,0,0,0,4271,
"Budgewoi - Buff Point - Halekulani",4220,0,0,0,0,0,0,4220,
"Chittaway Bay - Tumbi Umbi",5926,0,0,0,0,0,0,5926,
"Gorokan - Kanwal - Charmhaven",9407,0,0,0,0,0,0,9407,
"Jilliby - Yarramalong",474,740,0,0,0,0,0,1213,
"Lake Munmorah - Mannering Park",4782,0,0,0,0,0,0,4782,
"Ourimbah - Fountaindale",1668,205,0,0,0,0,0,1872,
"Summerland Point - Gwandalan",2411,0,0,0,0,0,0,2411,
"The Entrance",7304,0,0,0,0,0,0,7304,
"Toukley - Norah Head",4454,0,0,0,0,0,0,4454,
"Tuggerah - Kangy Angy",2017,0,0,0,0,0,0,2017,
"Warnervale - Wadalba",5329,0,0,0,0,0,0,5329,
"Wyong",3736,0,0,0,0,0,0,3736,
"Bathurst",0,9830,0,0,0,0,0,9830,
"Bathurst - East",0,4112,0,0,0,0,0,4112,
"Bathurst Region",0,2350,349,0,0,0,0,2699,
"Oberon",0,1810,173,0,0,0,0,1984,
"Condobolin",0,0,1545,1282,0,0,0,2823,
"Cowra",0,4110,0,0,0,0,0,4110,
"Cowra Region",0,936,1470,0,0,0,0,2409,
"Forbes",0,0,4321,0,0,0,0,4321,
"Grenfell",0,0,1615,0,0,0,0,1615,
"Parkes (NSW)",0,0,4636,0,0,0,0,4636,
"Parkes Region",0,0,1461,0,0,0,0,1461,
"West Wyalong",0,0,2524,54,0,0,0,2579,
"Lithgow",0,5646,0,0,0,0,0,5646,
"Lithgow Region",0,3328,161,0,0,0,0,3489,
"Mudgee",0,5005,0,0,0,0,0,5005,
"Mudgee Region - East",0,643,991,0,0,0,0,1630,
"Mudgee Region - West",0,0,4455,0,0,0,0,4455,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,
"Blayney",0,2576,429,0,0,0,0,3003,
"Orange",0,8478,0,0,0,0,0,8478,
"Orange - North",0,7587,0,0,0,0,0,7587,
"Orange Region",0,3194,1280,0,0,0,0,4474,
"Grafton",0,8148,0,0,0,0,0,8148,
"Grafton Region",0,2328,4353,0,0,0,0,6683,
"Maclean - Yamba - Iluka",0,8136,145,0,0,0,0,8284,
"Bellingen",0,0,2518,0,0,0,0,2518,
"Coffs Harbour - North",0,7840,0,0,0,0,0,7840,
