Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by IRSD Deciles at SA2 Level (Area)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"IRSD Deciles at SA2 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Not applicable","Total",
"SA2 (UR)",
"Braidwood",0,0,0,0,0,3875,0,0,0,0,0,3875,
"Karabar",0,0,0,0,8241,0,0,0,0,0,0,8241,
"Queanbeyan",0,0,0,0,10838,0,0,0,0,0,0,10838,
"Queanbeyan - East",0,0,0,0,0,4785,0,0,0,0,0,4785,
"Queanbeyan Region",0,0,0,0,0,0,0,0,0,16945,0,16945,
"Queanbeyan West - Jerrabomberra",0,0,0,0,0,0,0,0,0,12642,0,12642,
"Bombala",0,0,2391,0,0,0,0,0,0,0,0,2391,
"Cooma",0,0,6737,0,0,0,0,0,0,0,0,6737,
"Cooma Region",0,0,0,0,0,3282,0,0,0,0,0,3282,
"Jindabyne - Berridale",0,0,0,0,0,0,0,6953,0,0,0,6953,
"Batemans Bay",0,7689,0,0,0,0,0,0,0,0,0,7689,
"Batemans Bay - South",0,0,8361,0,0,0,0,0,0,0,0,8361,
"Bega - Tathra",0,0,0,8405,0,0,0,0,0,0,0,8405,
"Bega-Eden Hinterland",0,0,0,8795,0,0,0,0,0,0,0,8795,
"Broulee - Tomakin",0,0,0,0,0,3287,0,0,0,0,0,3287,
"Deua - Wadbilliga",0,0,0,0,0,0,0,0,0,0,25,25,
"Eden",0,3218,0,0,0,0,0,0,0,0,0,3218,
"Eurobodalla Hinterland",0,0,0,3298,0,0,0,0,0,0,0,3298,
"Merimbula - Tura Beach",0,0,0,0,10621,0,0,0,0,0,0,10621,
"Moruya - Tuross Head",0,0,0,7968,0,0,0,0,0,0,0,7968,
"Narooma - Bermagui",0,0,8979,0,0,0,0,0,0,0,0,8979,
"Goulburn",0,0,22890,0,0,0,0,0,0,0,0,22890,
"Goulburn Region",0,0,0,0,12673,0,0,0,0,0,0,12673,
"Yass",0,0,0,0,0,6502,0,0,0,0,0,6502,
"Yass Region",0,0,0,0,0,0,0,0,11508,0,0,11508,
"Young",0,10604,0,0,0,0,0,0,0,0,0,10604,
"Young Region",0,0,7323,0,0,0,0,0,0,0,0,7323,
"Avoca Beach - Copacabana",0,0,0,0,0,0,0,0,7315,0,0,7315,
"Box Head - MacMasters Beach",0,0,0,0,0,0,0,10688,0,0,0,10688,
