Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SEXP Sex"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SEXP Sex","Male","Female","Total",
"SA2 (UR)",
"Braidwood",1955,1917,3875,
"Karabar",4071,4170,8241,
"Queanbeyan",5431,5405,10838,
"Queanbeyan - East",2461,2324,4785,
"Queanbeyan Region",8620,8334,16945,
"Queanbeyan West - Jerrabomberra",6292,6350,12642,
"Bombala",1204,1183,2391,
"Cooma",3390,3349,6737,
"Cooma Region",1690,1594,3282,
"Jindabyne - Berridale",3724,3225,6953,
"Batemans Bay",3778,3910,7689,
"Batemans Bay - South",3986,4370,8361,
"Bega - Tathra",4085,4325,8405,
"Bega-Eden Hinterland",4432,4363,8795,
"Broulee - Tomakin",1605,1680,3287,
"Deua - Wadbilliga",15,13,25,
"Eden",1581,1640,3218,
"Eurobodalla Hinterland",1672,1626,3298,
"Merimbula - Tura Beach",5079,5543,10621,
"Moruya - Tuross Head",3960,4003,7968,
"Narooma - Bermagui",4414,4564,8979,
"Goulburn",11447,11442,22890,
"Goulburn Region",6547,6127,12673,
"Yass",3119,3387,6502,
"Yass Region",5766,5743,11508,
"Young",5110,5494,10604,
"Young Region",3690,3634,7323,
"Avoca Beach - Copacabana",3675,3643,7315,
"Box Head - MacMasters Beach",5230,5457,10688,
"Calga - Kulnura",2462,2241,4703,
"Erina - Green Point",6496,7456,13950,
"Gosford - Springfield",9106,9694,18802,
"Kariong",3240,3145,6381,
"Kincumber - Picketts Valley",3346,3959,7308,
"Narara",3234,3400,6642,
"Niagara Park - Lisarow",3958,4069,8027,
"Point Clare - Koolewong",3016,3194,6207,
"Saratoga - Davistown",3381,3600,6979,
"Terrigal - North Avoca",6545,6801,13345,
"Umina - Booker Bay - Patonga",11286,12299,23588,
"Wamberal - Forresters Beach",4823,4934,9758,
"Woy Woy - Blackwall",6637,7291,13928,
"Wyoming",5448,5993,11434,
"Bateau Bay - Killarney Vale",10410,11596,22010,
"Blue Haven - San Remo",5349,5697,11044,
"Budgewoi - Buff Point - Halekulani",4640,4767,9405,
"Chittaway Bay - Tumbi Umbi",7434,7922,15353,
"Gorokan - Kanwal - Charmhaven",10645,11468,22114,
"Jilliby - Yarramalong",1685,1665,3352,
"Lake Munmorah - Mannering Park",5211,5519,10730,
"Ourimbah - Fountaindale",2413,2447,4860,
"Summerland Point - Gwandalan",2898,2870,5765,
"The Entrance",7187,7753,14942,
"Toukley - Norah Head",4765,5002,9772,
"Tuggerah - Kangy Angy",2591,2710,5301,
"Warnervale - Wadalba",7352,7864,15219,
"Wyong",4305,4511,8815,
"Bathurst",11818,12014,23830,
"Bathurst - East",5547,5643,11186,
"Bathurst Region",3656,3258,6913,
"Oberon",2422,2241,4663,
"Condobolin",3339,3295,6637,
"Cowra",4416,4736,9144,
"Cowra Region",2773,2676,5449,
"Forbes",5098,5065,10166,
"Grenfell",1826,1825,3650,
"Parkes (NSW)",5300,5676,10983,
"Parkes Region",1749,1638,3383,
"West Wyalong",2953,2970,5929,
"Lithgow",6469,6346,12814,
"Lithgow Region",4219,4051,8262,
"Mudgee",5725,6002,11727,
"Mudgee Region - East",1768,1676,3445,
"Mudgee Region - West",5351,5013,10362,
"Wollangambe - Wollemi",0,0,0,
"Blayney",3619,3650,7273,
"Orange",9083,9925,19010,
"Orange - North",9690,10042,19729,
"Orange Region",5870,5733,11607,
"Grafton",9068,9602,18673,
"Grafton Region",7848,7465,15313,
"Maclean - Yamba - Iluka",7989,8294,16283,
"Bellingen",2766,3040,5803,
"Coffs Harbour - North",8362,9099,17464,
"Coffs Harbour - South",4768,5524,10294,
"Coramba - Nana Glen - Bucca",1925,1890,3816,
"Dorrigo",1623,1621,3245,
"Korora - Emerald Beach",4262,4478,8740,
"Sawtell - Boambee",9439,10034,19474,
"Urunga",2311,2361,4667,
"Woolgoolga - Arrawarra",6224,6299,12521,
"Bourke - Brewarrina",2021,1979,4000,
"Cobar",2402,2261,4657,
"Coonamble",2039,2076,4113,
"Nyngan - Warren",2482,2484,4971,
"Walgett - Lightning Ridge",3375,3038,6413,
"Broken Hill",8620,9088,17709,
"Far West",1347,1160,2507,
"Coonabarabran",3962,3987,7950,
"Dubbo - East",5008,5370,10379,
"Dubbo - South",8014,8929,16942,
"Dubbo - West",4264,4507,8769,
"Dubbo Region",2908,2721,5626,
"Gilgandra",2168,2205,4376,
"Narromine",3268,3266,6537,
"Wellington",4602,4230,8831,
"Branxton - Greta - Pokolbin",5089,5036,10124,
"Cessnock",10943,11055,21995,
"Cessnock Region",3924,4005,7926,
"Dungog",4496,4477,8976,
"Kurri Kurri - Abermain",8759,8876,17639,
"Singleton",8180,7914,16094,
"Singleton Region",2522,2400,4922,
"Maitland",3270,3335,6601,
"Maitland - East",13266,14151,27416,
"Maitland - North",3754,3859,7611,
"Maitland - West",10960,11563,22525,
"Thornton - Millers Forest",4970,5030,10003,
"Anna Bay",2823,2904,5726,
"Lemon Tree Passage - Tanilba Bay",3349,3336,6685,
"Nelson Bay Peninsula",10144,10875,21015,
"Raymond Terrace",6825,7006,13825,
"Seaham - Woodville",2701,2711,5412,
"Tea Gardens - Hawks Nest",2500,2539,5038,
"Williamtown - Medowie - Karuah",6952,6724,13673,
"Muswellbrook",6186,5890,12072,
"Muswellbrook Region",2059,1951,4013,
"Scone",2852,2971,5823,
"Scone Region",4115,4169,8288,
"Dapto - Avondale",11399,12061,23460,
"Horsley - Kembla Grange",4223,4430,8655,
"Port Kembla Industrial",10,0,13,
"Unanderra - Mount Kembla",7474,7905,15374,
"Berkeley - Lake Heights - Cringila",6837,6965,13797,
"Port Kembla - Warrawong",4862,4890,9751,
"Windang - Primbee",2190,2109,4301,
"Illawarra Catchment Reserve",4,0,7,
"Albion Park - Macquarie Pass",6943,7392,14331,
"Albion Park Rail",3376,3542,6918,
"Kiama",3767,3928,7695,
"Kiama Downs - Minnamurra",2922,2951,5875,
"Kiama Hinterland - Gerringong",3797,4012,7812,
"Shellharbour - Flinders",8341,8489,16831,
"Shellharbour - Oak Flats",4806,5150,9951,
"Warilla",9982,10438,20422,
"Balgownie - Fairy Meadow",10385,10814,21201,
"Corrimal - Tarrawanna - Bellambi",7470,7947,15421,
"Figtree - Keiraville",10471,10609,21083,
"Helensburgh",4449,4338,8788,
"Thirroul - Austinmer - Coalcliff",5596,5708,11306,
"Woonona - Bulli - Russell Vale",9581,10258,19840,
"Wollongong - East",7045,6923,13968,
"Wollongong - West",8549,8157,16707,
"Bulahdelah - Stroud",2387,2334,4725,
"Forster",6774,7496,14270,
