Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by SLPP Sex of Lone Parent"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"SLPP Sex of Lone Parent","Male lone parent","Female lone parent","Not applicable","Total",
"SA2 (UR)",
"Braidwood",34,88,3752,3875,
"Karabar",97,370,7776,8241,
"Queanbeyan",113,382,10347,10838,
"Queanbeyan - East",37,142,4603,4785,
"Queanbeyan Region",81,279,16590,16945,
"Queanbeyan West - Jerrabomberra",89,359,12199,12642,
"Bombala",25,53,2319,2391,
"Cooma",57,284,6401,6737,
"Cooma Region",14,56,3218,3282,
"Jindabyne - Berridale",52,148,6756,6953,
"Batemans Bay",80,296,7316,7689,
"Batemans Bay - South",69,329,7959,8361,
"Bega - Tathra",60,299,8047,8405,
"Bega-Eden Hinterland",80,213,8501,8795,
"Broulee - Tomakin",29,104,3153,3287,
"Deua - Wadbilliga",0,0,27,25,
"Eden",32,121,3061,3218,
"Eurobodalla Hinterland",31,99,3167,3298,
"Merimbula - Tura Beach",73,329,10215,10621,
"Moruya - Tuross Head",77,256,7626,7968,
"Narooma - Bermagui",69,261,8649,8979,
"Goulburn",220,946,21723,22890,
"Goulburn Region",83,301,12289,12673,
"Yass",52,208,6244,6502,
"Yass Region",74,211,11221,11508,
"Young",73,463,10066,10604,
"Young Region",63,211,7054,7323,
"Avoca Beach - Copacabana",73,245,6992,7315,
"Box Head - MacMasters Beach",73,320,10303,10688,
"Calga - Kulnura",32,96,4572,4703,
"Erina - Green Point",107,427,13423,13950,
"Gosford - Springfield",172,890,17743,18802,
"Kariong",58,219,6100,6381,
"Kincumber - Picketts Valley",57,301,6949,7308,
"Narara",57,298,6286,6642,
"Niagara Park - Lisarow",65,264,7694,8027,
"Point Clare - Koolewong",47,219,5940,6207,
"Saratoga - Davistown",61,221,6704,6979,
"Terrigal - North Avoca",98,427,12817,13345,
"Umina - Booker Bay - Patonga",234,1136,22212,23588,
"Wamberal - Forresters Beach",77,263,9414,9758,
"Woy Woy - Blackwall",140,636,13149,13928,
"Wyoming",93,520,10819,11434,
"Bateau Bay - Killarney Vale",203,1128,20677,22010,
"Blue Haven - San Remo",119,679,10243,11044,
"Budgewoi - Buff Point - Halekulani",93,438,8877,9405,
"Chittaway Bay - Tumbi Umbi",120,576,14648,15353,
"Gorokan - Kanwal - Charmhaven",223,1145,20741,22114,
"Jilliby - Yarramalong",25,50,3280,3352,
"Lake Munmorah - Mannering Park",91,438,10199,10730,
"Ourimbah - Fountaindale",42,170,4645,4860,
"Summerland Point - Gwandalan",52,223,5496,5765,
"The Entrance",177,800,13967,14942,
"Toukley - Norah Head",99,464,9204,9772,
"Tuggerah - Kangy Angy",40,217,5040,5301,
"Warnervale - Wadalba",96,604,14526,15219,
"Wyong",101,517,8203,8815,
"Bathurst",172,945,22720,23830,
"Bathurst - East",94,442,10650,11186,
"Bathurst Region",61,124,6731,6913,
"Oberon",42,140,4481,4663,
"Condobolin",62,219,6349,6637,
"Cowra",82,365,8706,9144,
"Cowra Region",44,161,5240,5449,
"Forbes",90,337,9736,10166,
"Grenfell",28,92,3537,3650,
"Parkes (NSW)",96,452,10429,10983,
"Parkes Region",39,96,3257,3383,
"West Wyalong",60,164,5699,5929,
"Lithgow",123,573,12123,12814,
"Lithgow Region",69,248,7952,8262,
"Mudgee",77,425,11224,11727,
"Mudgee Region - East",35,126,3290,3445,
"Mudgee Region - West",73,263,10027,10362,
"Wollangambe - Wollemi",0,0,0,0,
"Blayney",50,247,6971,7273,
"Orange",174,858,17977,19010,
"Orange - North",141,697,18886,19729,
"Orange Region",72,236,11300,11607,
"Grafton",168,943,17561,18673,
"Grafton Region",148,475,14693,15313,
"Maclean - Yamba - Iluka",139,559,15576,16283,
"Bellingen",61,267,5474,5803,
"Coffs Harbour - North",186,841,16433,17464,
"Coffs Harbour - South",94,438,9765,10294,
"Coramba - Nana Glen - Bucca",50,97,3674,3816,
"Dorrigo",38,111,3091,3245,
"Korora - Emerald Beach",76,264,8402,8740,
"Sawtell - Boambee",189,842,18449,19474,
"Urunga",54,179,4433,4667,
"Woolgoolga - Arrawarra",121,472,11929,12521,
"Bourke - Brewarrina",55,188,3757,4000,
"Cobar",36,136,4484,4657,
"Coonamble",34,190,3887,4113,
"Nyngan - Warren",40,164,4759,4971,
"Walgett - Lightning Ridge",79,315,6023,6413,
"Broken Hill",188,869,16648,17709,
"Far West",32,92,2390,2507,
"Coonabarabran",66,268,7612,7950,
"Dubbo - East",91,486,9799,10379,
"Dubbo - South",135,708,16097,16942,
"Dubbo - West",91,386,8295,8769,
"Dubbo Region",42,120,5463,5626,
"Gilgandra",44,165,4166,4376,
"Narromine",48,273,6213,6537,
"Wellington",88,345,8401,8831,
"Branxton - Greta - Pokolbin",74,318,9731,10124,
"Cessnock",225,1165,20608,21995,
"Cessnock Region",60,247,7623,7926,
"Dungog",69,279,8631,8976,
"Kurri Kurri - Abermain",219,816,16608,17639,
"Singleton",122,579,15391,16094,
"Singleton Region",38,76,4809,4922,
"Maitland",63,271,6274,6601,
"Maitland - East",239,1175,26001,27416,
"Maitland - North",39,211,7362,7611,
"Maitland - West",190,1008,21329,22525,
"Thornton - Millers Forest",91,297,9622,10003,
"Anna Bay",49,191,5485,5726,
"Lemon Tree Passage - Tanilba Bay",50,279,6359,6685,
"Nelson Bay Peninsula",157,685,20181,21015,
"Raymond Terrace",165,785,12873,13825,
"Seaham - Woodville",41,101,5273,5412,
"Tea Gardens - Hawks Nest",41,119,4879,5038,
"Williamtown - Medowie - Karuah",128,386,13163,13673,
"Muswellbrook",123,533,11421,12072,
"Muswellbrook Region",29,109,3876,4013,
"Scone",42,179,5602,5823,
"Scone Region",62,239,7995,8288,
"Dapto - Avondale",249,1032,22184,23460,
"Horsley - Kembla Grange",51,302,8300,8655,
"Port Kembla Industrial",0,0,13,13,
"Unanderra - Mount Kembla",117,486,14772,15374,
"Berkeley - Lake Heights - Cringila",165,736,12901,13797,
"Port Kembla - Warrawong",142,560,9051,9751,
"Windang - Primbee",46,157,4099,4301,
"Illawarra Catchment Reserve",0,0,7,7,
"Albion Park - Macquarie Pass",109,522,13703,14331,
"Albion Park Rail",83,360,6468,6918,
"Kiama",53,218,7421,7695,
"Kiama Downs - Minnamurra",34,167,5672,5875,
"Kiama Hinterland - Gerringong",49,171,7591,7812,
"Shellharbour - Flinders",113,484,16237,16831,
"Shellharbour - Oak Flats",91,445,9414,9951,
"Warilla",240,1171,19015,20422,
"Balgownie - Fairy Meadow",174,763,20261,21201,
"Corrimal - Tarrawanna - Bellambi",160,748,14513,15421,
"Figtree - Keiraville",154,639,20286,21083,
"Helensburgh",58,217,8509,8788,
"Thirroul - Austinmer - Coalcliff",74,284,10945,11306,
"Woonona - Bulli - Russell Vale",144,693,18999,19840,
"Wollongong - East",99,344,13528,13968,
"Wollongong - West",146,546,16015,16707,
"Bulahdelah - Stroud",43,157,4523,4725,
"Forster",135,610,13522,14270,
"Forster-Tuncurry Region",46,199,5844,6085,
"Tuncurry",57,241,5890,6182,
"Kempsey",165,837,13753,14756,
"Kempsey Region",107,325,8591,9024,
"Macksville - Scotts Head",40,206,4544,4792,
"Nambucca Heads",70,336,6344,6752,
"Nambucca Heads Region",81,265,7321,7665,
"South West Rocks",38,184,4907,5133,
"Lord Howe Island",6,5,371,381,
"Laurieton - Bonny Hills",133,545,16064,16743,
"Port Macquarie - East",207,1041,26793,28050,
"Port Macquarie - West",140,716,16477,17326,
"Port Macquarie Region",50,130,5111,5293,
"Wauchope",116,453,10586,11150,
"Gloucester",57,158,4814,5033,
"Old Bar - Manning Point - Red Head",78,350,10108,10531,
"Taree",209,1022,19253,20478,
"Taree Region",123,361,11954,12444,
"Wingham",47,280,5044,5374,
"Albury - East",98,433,14512,15047,
"Albury - North",107,422,9316,9845,
"Albury - South",77,334,9893,10302,
"Albury Region",83,284,11238,11611,
"Lavington",137,641,13692,14473,
"Hay",21,107,2843,2970,
"Wentworth - Buronga",53,187,5721,5965,
"Wentworth-Balranald Region",23,78,3507,3611,
"Corowa",42,181,5252,5482,
"Corowa Region",52,168,6518,6742,
"Deniliquin",69,281,7086,7434,
"Deniliquin Region",51,121,6584,6751,
"Moama",30,147,5674,5845,
"Tocumwal - Finley - Jerilderie",64,249,9409,9728,
"Armidale",170,822,22360,23348,
"Armidale Region - North",46,134,4309,4490,
"Armidale Region - South",49,177,5793,6023,
"Walcha",27,78,3126,3226,
"Glen Innes",75,293,8461,8832,
"Inverell",103,557,11000,11660,
"Inverell Region - East",42,157,5046,5235,
"Inverell Region - West",44,163,5781,5987,
"Tenterfield",55,224,6349,6624,
"Moree",102,399,7703,8203,
"Moree Region",48,151,5249,5451,
"Narrabri",56,262,6854,7170,
"Narrabri Region",45,135,4618,4797,
"Gunnedah",74,340,8777,9191,
"Gunnedah Region",43,138,3959,4133,
"Quirindi",68,295,7330,7684,
"Tamworth - East",163,892,19315,20372,
"Tamworth - North",96,630,14350,15077,
"Tamworth - West",76,382,5107,5563,
"Tamworth Region",139,537,17798,18472,
"Belmont - Bennetts Green",155,638,16938,17724,
"Belmont South - Blacksmiths",54,272,5275,5604,
"Charlestown - Dudley",235,1013,22720,23965,
"Glendale - Cardiff - Hillsborough",224,961,22202,23387,
"Mount Hutton - Windale",112,511,8279,8901,
"Redhead",29,100,3390,3517,
"Swansea - Caves Beach",105,451,10989,11546,
"Valentine - Eleebana",60,296,11631,11994,
"Warners Bay - Boolaroo",131,529,12707,13371,
"Bolton Point - Teralba",103,481,7944,8523,
"Bonnells Bay - Silverwater",80,379,8256,8719,
"Edgeworth - Cameron Park",77,506,13620,14200,
"Morisset - Cooranbong",130,462,14367,14963,
"Toronto - Awaba",122,580,12721,13425,
"Wangi Wangi - Rathmines",85,277,8533,8897,
"West Wallsend - Barnsley - Killingworth",79,248,6154,6481,
"Adamstown - Kotara",132,520,14944,15600,
"Beresfield - Hexham",104,458,7799,8358,
"Hamilton - Broadmeadow",126,437,11281,11847,
"Lambton - New Lambton",136,667,15719,16526,
"Maryland - Fletcher - Minmi",104,474,12990,13570,
"Mayfield - Warabrook",154,650,14061,14873,
"Merewether - The Junction",88,324,13205,13622,
"Newcastle - Cooks Hill",69,248,10437,10757,
"Newcastle Port - Kooragang",0,0,16,16,
"Shortland - Jesmond",96,389,11055,11544,
"Stockton - Fullerton Cove",74,217,7203,7495,
"Wallsend - Elermore Vale",151,886,18592,19628,
"Waratah - North Lambton",104,557,11395,12059,
"Wickham - Carrington - Tighes Hill",82,351,7572,8003,
"Ballina",174,713,16230,17115,
"Ballina Region",153,534,16141,16835,
"Bangalow",62,171,5434,5670,
"Brunswick Heads - Ocean Shores",90,427,7693,8212,
"Byron Bay",63,307,9134,9503,
"Evans Head",62,190,4967,5219,
"Lennox Head - Skennars Head",53,247,7435,7741,
"Mullumbimby",90,354,7553,7994,
"Casino",121,577,11528,12231,
"Casino Region",80,210,6680,6972,
"Goonellabah",134,623,12369,13122,
"Kyogle",79,278,6957,7312,
"Lismore",198,816,14270,15282,
"Lismore Region",128,484,14412,15028,
"Kingscliff - Fingal Head",109,437,12603,13150,
"Murwillumbah",96,456,8385,8942,
"Murwillumbah Region",111,317,9224,9653,
"Pottsville",111,483,12584,13181,
"Tweed Heads",193,823,18402,19418,
"Banora Point",109,676,14848,15636,
"Terranora - North Tumblegum",22,67,3161,3249,
"Tweed Heads South",77,372,7689,8146,
"Griffith (NSW)",115,632,18399,19143,
"Griffith Region",103,320,12454,12880,
"Leeton",66,335,9687,10086,
"Narrandera",52,203,5779,6034,
"Tumbarumba",33,81,3333,3445,
"Tumut",57,246,5969,6275,
"Tumut Region",42,105,4565,4715,
"Cootamundra",50,253,7267,7566,
"Gundagai",35,107,3457,3596,
"Junee",48,190,6005,6245,
"Temora",53,206,6459,6717,
"Wagga Wagga - East",121,594,15877,16585,
"Wagga Wagga - North",20,98,4286,4404,
"Wagga Wagga - South",169,890,20208,21266,
"Wagga Wagga - West",105,508,11540,12155,
"Wagga Wagga Region",113,392,14310,14819,
"Berry - Kangaroo Valley",57,193,8533,8788,
"Callala Bay - Currarong",31,126,3456,3611,
"Culburra Beach",52,159,4743,4962,
"Ettrema - Sassafras - Budawang",0,0,47,54,
"Huskisson - Vincentia",23,116,4049,4194,
"North Nowra - Bomaderry",149,603,15007,15759,
"Nowra",196,937,18902,20040,
"St Georges Basin - Erowal Bay",155,590,13256,14006,
"Sussex Inlet - Berrara",33,135,4168,4345,
"Tomerong - Wandandian - Woollamia",29,79,3297,3405,
"Ulladulla",137,534,14612,15279,
"Ulladulla Region",52,125,4886,5063,
"Bowral",65,380,12505,12948,
"Hill Top - Colo Vale",43,212,5776,6026,
"Mittagong",49,306,8640,8999,
"Moss Vale - Berrima",55,385,9362,9801,
"Robertson - Fitzroy Falls",25,84,3401,3506,
"Southern Highlands",43,164,6386,6585,
"Baulkham Hills (East)",165,670,22112,22943,
"Baulkham Hills (West) - Bella Vista",78,364,19625,20068,
"Glenhaven",29,123,6102,6253,
"West Pennant Hills",57,206,12376,12640,
"Castle Hill - Central",49,216,7343,7609,
"Castle Hill - East",23,82,5488,5594,
"Castle Hill - North",66,264,11555,11886,
"Castle Hill - South",58,253,9207,9519,
"Castle Hill - West",27,123,5090,5239,
"Cherrybrook",98,457,18211,18768,
"Kellyville",89,508,22630,23231,
"Dural - Kenthurst - Wisemans Ferry",139,464,20411,21019,
"Galston - Laughtondale",34,125,5053,5210,
"Bilpin - Colo - St Albans",15,56,2619,2691,
"Kurrajong Heights - Ebenezer",153,544,21200,21898,
"Pitt Town - McGraths Hill",81,254,10200,10531,
"Rouse Hill - Beaumont Hills",91,488,22068,22651,
"Blacktown (East) - Kings Park",133,558,16236,16920,
"Blacktown (North) - Marayong",167,835,17019,18024,
"Doonside - Woodcroft",174,973,21380,22526,
"Lalor Park - Kings Langley",224,932,23726,24874,
"Seven Hills - Toongabbie",193,800,22928,23920,
"Blacktown (South)",125,523,11676,12325,
"Blacktown (West)",133,575,15452,16154,
"Glenwood",78,371,15681,16128,
