Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by STUP Full-Time/Part-Time Student Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STUP Full-Time/Part-Time Student Status","Not attending","Full-time student","Part-time student","Institution (TYPP) stated, full-time/part-time status (STUP) not stated","Both not stated - both institution (TYPP) and full-time/part-time status (STUP) not stated","Total",
"SA2 (UR)",
"Braidwood",2717,540,163,0,454,3875,
"Karabar",5811,1519,398,14,502,8241,
"Queanbeyan",7970,1443,597,18,808,10838,
"Queanbeyan - East",3501,691,315,4,275,4785,
"Queanbeyan Region",11076,3370,865,32,1602,16945,
"Queanbeyan West - Jerrabomberra",8244,3107,771,20,498,12642,
"Bombala",1785,332,93,4,186,2391,
"Cooma",4627,977,324,16,799,6737,
"Cooma Region",2310,535,121,8,311,3282,
"Jindabyne - Berridale",4741,1205,354,8,648,6953,
"Batemans Bay",5679,1036,246,14,709,7689,
"Batemans Bay - South",6158,1120,277,16,787,8361,
"Bega - Tathra",5944,1337,340,25,763,8405,
"Bega-Eden Hinterland",6411,1371,336,7,669,8795,
"Broulee - Tomakin",2391,500,128,10,255,3287,
"Deua - Wadbilliga",18,0,0,0,6,25,
"Eden",2377,432,108,3,294,3218,
"Eurobodalla Hinterland",2456,467,119,5,248,3298,
"Merimbula - Tura Beach",8001,1385,381,12,841,10621,
"Moruya - Tuross Head",6022,1021,283,18,622,7968,
"Narooma - Bermagui",6866,1009,270,20,812,8979,
"Goulburn",15933,3572,1144,53,2192,22890,
"Goulburn Region",9025,2009,539,18,1081,12673,
"Yass",4403,1132,375,9,581,6502,
"Yass Region",7864,2332,578,14,716,11508,
"Young",7415,1929,460,39,758,10604,
"Young Region",5318,1157,277,14,555,7323,
"Avoca Beach - Copacabana",4918,1630,423,20,330,7315,
"Box Head - MacMasters Beach",7758,1886,524,27,490,10688,
"Calga - Kulnura",3284,757,196,17,451,4703,
"Erina - Green Point",10075,2412,593,19,852,13950,
"Gosford - Springfield",13414,3002,1016,33,1337,18802,
"Kariong",4170,1443,376,9,385,6381,
"Kincumber - Picketts Valley",5407,1261,327,15,298,7308,
"Narara",4677,1287,398,14,272,6642,
"Niagara Park - Lisarow",5553,1726,455,12,279,8027,
"Point Clare - Koolewong",4519,1129,326,6,233,6207,
"Saratoga - Davistown",5053,1229,368,12,315,6979,
"Terrigal - North Avoca",9489,2509,717,23,605,13345,
"Umina - Booker Bay - Patonga",17400,3427,1056,33,1670,23588,
"Wamberal - Forresters Beach",6708,2073,523,13,443,9758,
"Woy Woy - Blackwall",10307,1960,636,37,986,13928,
"Wyoming",8053,1975,603,18,779,11434,
"Bateau Bay - Killarney Vale",15660,3781,1096,61,1416,22010,
"Blue Haven - San Remo",7582,2341,575,30,512,11044,
