"","Hospital.name","Phone.number","Street.address","Suburb","Postcode","State","Local.Hospital.Network..LHN.","Primary.Health.Network.area..PHN.","Website","Description","Sector","Beds","Latitude","Longitude","Hospital_ID","SA2_NAME","SA2_5DIGIT","GCC_NAME"
"1","Aesthetic Day Surgery","02 9553 9905","14 Kensington Street","KOGARAH","2217","NSW","","","www.aestheticdaysurgery.com.au","","Private","",-33.964843,151.135032,6,"Kogarah",11378,"Greater Sydney"
"2","Albury Wodonga Health [Albury Campus]","02 6058 4444","201 Borella Road","ALBURY","2640","NSW","Albury Wodonga Health","Murray","","Large regional hospital with an emergency department","Public","100-199",-36.078401,146.939146,9,"Albury - South",11174,"Rest of NSW"
"3","Albury Wodonga Private Hospital","02 6041 1411","1125 Pemberton Street","WEST ALBURY","2640","NSW","","","www.alburywodongaprivate.com.au","","Private","100-199",-36.075621,146.883177,11,"Albury - South",11174,"Rest of NSW"
"4","Allowah Presbyterian Children's Hospital","02 9858 4994","8 Perry Street","DUNDAS","2117","NSW","","","www.allowah.org.au","","Private","<50",-33.791787,151.06387,14,"Ermington - Rydalmere",11477,"Greater Sydney"
"5","Armidale Hospital","02 6776 9500","226 Rusden Street","ARMIDALE","2350","NSW","Hunter New England","Hunter New England and Central Coast","","Medium regional hospital with an emergency department","Public","50-99",-30.512726,151.655629,22,"Armidale",11186,"Rest of NSW"
"6","Armidale Private Hospital","02 6771 4000","Rusden Street","ARMIDALE","2350","NSW","","","","","Private","<50",-30.512719,151.654565,23,"Armidale",11186,"Rest of NSW"
"7","Auburn Hospital","02 8759 3000","18-20 Hargrave Road","AUBURN","2144","NSW","Western Sydney","Western Sydney","www.wslhd.health.nsw.gov.au/Auburn-Hospital","Medium metropolitan hospital with an emergency department","Public","100-199",-33.859867,151.033204,27,"Auburn - Central",11582,"Greater Sydney"
"8","Ballina Day Surgery","02 6681 9999","Suite 6, 46 Tamar Street","BALLINA","2478","NSW","","","","","Private","<50",-28.870711,153.563241,39,"Ballina",11236,"Rest of NSW"
"9","Ballina Hospital","02 6686 2111","78-92 Cherry Street","BALLINA","2478","NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","50-99",-28.863525,153.564013,40,"Ballina",11236,"Rest of NSW"
"10","Balmain Hospital","02 9395 2111","29 Booth Street","BALMAIN","2041","NSW","Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/balmain/default.html","Metropolitan hospital","Public","50-99",-33.859469,151.181469,41,"Balmain",11387,"Greater Sydney"
"11","Balranald Multi Purpose Service","03 5071 9800","41-43 Court Street","BALRANALD","2715","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50",-34.644549,143.568413,42,"Wentworth-Balranald Region",11179,"Rest of NSW"
"12","Bankstown Lidcombe Hospital","02 9722 8000","68 Eldridge Road","BANKSTOWN","2200","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/bankstown/","Large metropolitan hospital with an emergency department","Public","200-500",-33.933088,151.020823,44,"Bankstown - North",11571,"Greater Sydney"
