"","sa2_area","total_pop","male","female","overseas","childcare","employ","oc_positive","oc_negative","sp_male","sp_female","sp_total","student","age0","age10","age20","age30","age40","age50","age60","age70","age80","age90","age100","below_median_inc","above_median_rent","yr12_perc","bach_perc","IRSD","IRSAD","major_cities","inner_regional","outer_regional","remote","very_remote","SA2_MAINCODE_2016","SA2_5DIGIT","GCC_NAME","time_to_orange","time_to_nowra","time_to_canberra","time_to_port","time_to_rpa","time_to_westmead","shortest_time"
"1","Braidwood",3875,50.4516129032258,49.4709677419355,23.8709677419355,20.1032258064516,1.80645161290323,63.5746606334842,3.33710407239819,0.87741935483871,2.27096774193548,3.14838709677419,18.141935483871,437,401,228,351,557,672,656,417,127,30,0,0.588800904977376,0.0158371040723982,0.362064516129032,0.170838709677419,"6","5",0,0.727941176470588,0.27262443438914,0,0,101021007,11007,"Rest of NSW",14938.9796201232s (~4.15 hours),7058.13244353183s (~1.96 hours),5467.80397843943s (~1.52 hours),28264.0331365503s (~7.85 hours),12181.2647587269s (~3.38 hours),11969.0331365503s (~3.32 hours),5467.80397843943s (~1.52 hours)
"2","Karabar",8241,49.3993447397161,50.6006552602839,22.8977065890062,22.9341099381143,2.48756218905473,69.7050938337802,3.03842716711349,1.17704162116248,4.48974639000121,5.66678801116369,23.2617400800874,1079,1129,1067,1086,1197,1149,870,483,166,22,0,0.54453380994936,0.0953232052427763,0.377381385754156,0.108724669336246,"5","5",1,0,0,0,0,101021008,11008,"Rest of NSW",14529.7892343051s (~4.04 hours),9793.69685496553s (~2.72 hours),1142.48923430507s (~19.04 minutes),28574.7968549655s (~7.94 hours),12492.0968549655s (~3.47 hours),12279.7968549655s (~3.41 hours),1142.48923430507s (~19.04 minutes)
"3","Queanbeyan",10838,50.1107215353386,49.8708248754383,32.948883557852,20.5203912160915,2.841852740358,57.2047466566208,3.71067997739687,1.04262779110537,3.52463554161284,4.56726333271821,18.822661007566,1275,830,1903,1923,1434,1289,1006,617,435,125,3,0.54002637031456,0.100207195328687,0.441594390108876,0.181029710278649,"5","5",1,0,0,0,0,101021009,11009,"Rest of NSW",14369.2953284806s (~3.99 hours),9690.59472035382s (~2.69 hours),991.486952916245s (~16.52 minutes),28426.3070671704s (~7.9 hours),12343.6070671704s (~3.43 hours),12131.3070671704s (~3.37 hours),991.486952916245s (~16.52 minutes)
"4","Queanbeyan - East",4785,51.4315569487983,48.5684430512017,31.2434691745037,21.692789968652,2.84221525600836,58.7952859013531,4.8886948930598,0.77324973876698,2.96760710553814,3.74085684430512,21.0240334378265,607,422,841,823,661,676,410,231,105,17,0,0.53819292885203,0.0907900480139677,0.488401253918495,0.211703239289446,"6","6",1,0,0,0,0,101021010,11010,"Rest of NSW",14373.8145009416s (~3.99 hours),9555.44138941201s (~2.65 hours),1192.37401129944s (~19.87 minutes),28338.2145009416s (~7.87 hours),12255.5145009416s (~3.4 hours),12043.2145009416s (~3.35 hours),1192.37401129944s (~19.87 minutes)
"5","Queanbeyan Region",16945,50.8704632634996,49.1826497491885,23.0451460607849,24.2490410150487,1.55208025966362,74.7568170945623,2.37601658427683,0.478017114192977,1.64650339333137,2.12452050752434,24.9926231926822,2310,2410,1651,1955,2834,2735,2030,811,177,25,0,0.348110349226599,0.0550151490990273,0.450457362053703,0.204485098849218,"10","10",0.0515069366927125,0.948652527507575,0,0,0,101021011,11011,"Rest of NSW",14712.0480201243s (~4.09 hours),9718.20197691625s (~2.7 hours),2439.48577093815s (~40.66 minutes),28743.2542941699s (~7.98 hours),12660.5542941699s (~3.52 hours),12448.2542941699s (~3.46 hours),2439.48577093815s (~40.66 minutes)
"6","Queanbeyan West - Jerrabomberra",12642,49.7706059167853,50.2293940832147,20.0284765068818,26.0560037968676,2.05663660813162,78.963481303302,1.61819374589985,0.704002531245056,2.83974054738174,3.5437430786268,30.6755260243632,1885,2049,1399,1621,2328,1899,910,388,134,21,0,0.35862672206429,0.116335009840367,0.471207087486157,0.201233981964879,"10","10",1,0,0,0,0,101021012,11012,"Rest of NSW",14478.7626197072s (~4.02 hours),10018.1304075979s (~2.78 hours),1124.68576177285s (~18.74 minutes),28784.8940403641s (~8 hours),12702.1940403641s (~3.53 hours),12489.8940403641s (~3.47 hours),1124.68576177285s (~18.74 minutes)
"7","Bombala",2391,50.3554997908825,49.4772061898787,16.9803429527394,18.9042241739858,1.96570472605604,72.5325884543762,1.48975791433892,1.04558762024258,2.21664575491426,3.26223337515684,17.7749895441238,287,243,198,236,277,375,405,220,115,34,0,0.657355679702048,0.00279329608938547,0.277289836888331,0.0832287745713091,"3","3",0,0,1,0,0,101031013,11013,"Rest of NSW",23925.3138519135s (~6.65 hours),18216.8162229617s (~5.06 hours),10505.7138519135s (~2.92 hours),38381.8138519135s (~10.66 hours),22299.1138519135s (~6.19 hours),22086.8138519135s (~6.14 hours),10505.7138519135s (~2.92 hours)
"8","Cooma",6737,50.3191331453169,49.7105536588986,23.8830339913908,18.7620602642126,2.13744990351789,72.0792079207921,1.48514851485149,0.846073920142497,4.21552619860472,5.06160011874722,19.3112661421998,709,752,731,739,850,984,853,619,378,103,0,0.665016501650165,0.00924092409240924,0.309188065904705,0.10523972094404,"3","3",0,1,0,0,0,101031014,11014,"Rest of NSW",18933.8954180303s (~5.26 hours),13637.1313894674s (~3.79 hours),5514.29541803035s (~1.53 hours),33390.3954180303s (~9.28 hours),17307.6954180303s (~4.81 hours),17095.3954180303s (~4.75 hours),5514.29541803035s (~1.53 hours)
"9","Cooma Region",3282,51.4929920780012,48.5679463741621,23.5222425350396,20.2010968921389,1.79768433881779,69.8795180722892,1.67336010709505,0.426569165143205,1.70627666057282,2.13284582571603,19.9878123095673,343,422,198,257,493,556,530,357,105,18,0,0.563587684069612,0.00669344042838019,0.344911639244363,0.129494210847044,"6","6",0,0.495983935742972,0.504685408299866,0,0,101031015,11015,"Rest of NSW",19965.8538228155s (~5.55 hours),14604.2830400485s (~4.06 hours),6622.03182645631s (~1.84 hours),34317.4711165049s (~9.53 hours),18234.7711165049s (~5.07 hours),18022.4711165049s (~5.01 hours),6622.03182645631s (~1.84 hours)
"10","Jindabyne - Berridale",6953,53.5596145548684,46.3828563210125,23.0116496476341,22.0192722565799,1.10743563929239,44.5465253239105,2.2379269729093,0.747878613548109,2.12857759240616,2.87645620595426,22.4219761254135,769,865,1001,866,1093,1044,772,362,155,19,0,0.38680800942285,0.104593639575972,0.428735797497483,0.143822810297713,"8","6",0,0,1,0,0,101031016,11016,"Rest of NSW",22095.2687347056s (~6.14 hours),16770.2699438607s (~4.66 hours),8675.66873470563s (~2.41 hours),36551.7687347056s (~10.15 hours),20469.0687347056s (~5.69 hours),20256.7687347056s (~5.63 hours),8675.66873470563s (~2.41 hours)
"11","Batemans Bay",7689,49.1351281050852,50.8518663025101,22.5647028222136,17.1023540122253,2.95226947587463,70.2354260089686,2.69058295964126,1.04044739237872,3.84965535180127,4.89010274418,16.673169462869,816,777,595,669,827,1022,1419,988,461,110,0,0.711883408071749,0.0358744394618834,0.271296657562752,0.0838860710105345,"2","2",0,1,0,0,0,101041017,11017,"Rest of NSW",17937.1481256463s (~4.98 hours),6229.06842037228s (~1.73 hours),8324.34812564633s (~2.31 hours),30423.7684203723s (~8.45 hours),14022.7684203723s (~3.9 hours),14396.4684203723s (~4 hours),6229.06842037228s (~1.73 hours)
"12","Batemans Bay - South",8361,47.673723238847,52.2664753019974,23.8727424949169,17.2826216959694,3.25319937806483,74.8502994011976,2.42124446758657,0.825260136347327,3.9349360124387,4.76019614878603,16.7085276880756,759,857,555,647,916,1175,1594,1205,522,125,7,0.70059880239521,0.0385316323873991,0.317545748116254,0.116612845353427,"3","3",0,1,0,0,0,101041018,11018,"Rest of NSW",18281.4552881723s (~5.08 hours),6700.5552881723s (~1.86 hours),8668.6552881723s (~2.41 hours),30895.2552881723s (~8.58 hours),14494.2552881723s (~4.03 hours),14867.9552881723s (~4.13 hours),6700.5552881723s (~1.86 hours)
"13","Bega - Tathra",8405,48.6020226055919,51.4574657941701,17.8465199286139,21.9274241522903,2.11778703152885,70,2.36559139784946,0.713860797144557,3.55740630577037,4.27126710291493,19.9524092801904,1020,1039,694,837,1010,1345,1176,791,409,82,0,0.668548387096774,0.0204301075268817,0.309101725163593,0.126472337894111,"4","3",0,0,1,0,0,101041019,11019,"Rest of NSW",25132.5077418585s (~6.98 hours),13551.6077418585s (~3.76 hours),11992.1402839079s (~3.33 hours),37746.3077418585s (~10.49 hours),21345.3077418585s (~5.93 hours),21719.0077418585s (~6.03 hours),11992.1402839079s (~3.33 hours)
"14","Bega-Eden Hinterland",8795,50.3922683342808,49.6077316657192,20.3865832859579,20.3411028993746,2.62649232518476,68.9672933298996,3.16765387586917,0.909607731665719,2.42183058555998,3.3314383172257,19.4087549744173,881,1119,519,663,1119,1776,1762,688,231,29,0,0.698171516868401,0.00463559103785733,0.31404206935759,0.133712336554861,"4","4",0,0,1,0,0,101041020,11020,"Rest of NSW",24728.5997494305s (~6.87 hours),14027.3036332574s (~3.9 hours),12150.8159225513s (~3.38 hours),38045.0225512528s (~10.57 hours),21709.2077904328s (~6.03 hours),21949.7965034169s (~6.1 hours),12150.8159225513s (~3.38 hours)
"15","Broulee - Tomakin",3287,48.828719196836,51.1104350471555,20.9005171889261,19.014298752662,1.73410404624277,72.8187919463087,1.74496644295302,0.882263462123517,3.16397931244296,4.04624277456647,19.1055673866748,305,365,219,263,363,500,555,413,239,65,0,0.648322147651007,0.0342281879194631,0.359598418010344,0.158198965622148,"6","5",0,1,0,0,0,101041021,11021,"Rest of NSW",18722.6909888116s (~5.2 hours),7141.79098881161s (~1.98 hours),9109.89098881161s (~2.53 hours),31336.4909888116s (~8.7 hours),14935.4909888116s (~4.15 hours),15309.1909888116s (~4.25 hours),7141.79098881161s (~1.98 hours)
"16","Deua - Wadbilliga",25,60,52,32,16,0,123.076923076923,0,0,0,0,0,0,0,0,0,0,3,11,4,0,0,0,0.769230769230769,0,0.48,0.28,NA,NA,0,0,1,0,0,101041022,11022,"Rest of NSW",23849.2s (~6.62 hours),12976.2076923077s (~3.6 hours),14229.3961538462s (~3.95 hours),36652.9230769231s (~10.18 hours),20325.3769230769s (~5.65 hours),20563.8461538462s (~5.71 hours),12976.2076923077s (~3.6 hours)
"17","Eden",3218,49.1298943443132,50.9633312616532,21.4729645742697,18.6451211932878,2.79676817899316,69.5073235685752,2.13049267643142,0.994406463642014,3.76009944064636,4.75450590428838,16.780609073959,334,329,258,279,356,484,550,380,194,42,0,0.697070572569907,0.0126498002663116,0.24580484773151,0.074580484773151,"2","1",0,0,1,0,0,101041023,11023,"Rest of NSW",26782.9105834885s (~7.44 hours),15613.9105834885s (~4.34 hours),13363.3105834885s (~3.71 hours),39808.6105834885s (~11.06 hours),23407.6105834885s (~6.5 hours),23781.3105834885s (~6.61 hours),13363.3105834885s (~3.71 hours)
"18","Eurobodalla Hinterland",3298,50.6973923590055,49.3026076409945,19.9514857489388,18.7083080654942,3.06246209824136,66.6885245901639,4.45901639344262,0.939963614311704,3.0018192844148,3.9417828987265,17.7683444511825,281,395,236,240,424,645,655,312,86,17,0,0.670819672131148,0.0118032786885246,0.306246209824136,0.112492419648272,"4","3",0,0.688524590163934,0.311475409836066,0,0,101041024,11024,"Rest of NSW",19277.2642162819s (~5.35 hours),7693.75419198056s (~2.14 hours),9664.46421628189s (~2.68 hours),31837.7449574727s (~8.84 hours),15459.684872418s (~4.29 hours),15777.1202308627s (~4.38 hours),7693.75419198056s (~2.14 hours)
"19","Merimbula - Tura Beach",10621,47.8203558986913,52.1890594106016,21.7681950852085,18.2186234817814,1.88306185858205,72.0567659404357,1.75894463322007,0.68731757838245,3.09763675736748,3.78495433574993,16.6274362112795,919,1040,737,844,1175,1588,1991,1443,715,162,0,0.675794523286028,0.0385768538876674,0.339327746916486,0.13011957442802,"5","4",0,0,1,0,0,101041025,11025,"Rest of NSW",25927.3443618922s (~7.2 hours),14728.2731214145s (~4.09 hours),12507.7443618922s (~3.47 hours),38922.9731214145s (~10.81 hours),22521.9731214145s (~6.26 hours),22895.6731214145s (~6.36 hours),12507.7443618922s (~3.47 hours)
