"","SA2_5DIG16","SA2_NAME16","GCC_NAME16"
"0","11007","Braidwood","Rest of NSW"
"1","11008","Karabar","Rest of NSW"
"2","11009","Queanbeyan","Rest of NSW"
"3","11010","Queanbeyan - East","Rest of NSW"
"4","11011","Queanbeyan Region","Rest of NSW"
"5","11012","Queanbeyan West - Jerrabomberra","Rest of NSW"
"6","11013","Bombala","Rest of NSW"
"7","11014","Cooma","Rest of NSW"
"8","11015","Cooma Region","Rest of NSW"
"9","11016","Jindabyne - Berridale","Rest of NSW"
"10","11017","Batemans Bay","Rest of NSW"
"11","11018","Batemans Bay - South","Rest of NSW"
"12","11019","Bega - Tathra","Rest of NSW"
"13","11020","Bega-Eden Hinterland","Rest of NSW"
"14","11021","Broulee - Tomakin","Rest of NSW"
"15","11022","Deua - Wadbilliga","Rest of NSW"
"16","11023","Eden","Rest of NSW"
"17","11024","Eurobodalla Hinterland","Rest of NSW"
"18","11025","Merimbula - Tura Beach","Rest of NSW"
"19","11026","Moruya - Tuross Head","Rest of NSW"
"20","11027","Narooma - Bermagui","Rest of NSW"
"21","11539","Goulburn","Rest of NSW"
"22","11540","Goulburn Region","Rest of NSW"
"23","11541","Yass","Rest of NSW"
"24","11542","Yass Region","Rest of NSW"
"25","11543","Young","Rest of NSW"
"26","11544","Young Region","Rest of NSW"
"27","11028","Avoca Beach - Copacabana","Greater Sydney"
"28","11029","Box Head - MacMasters Beach","Greater Sydney"
"29","11030","Calga - Kulnura","Greater Sydney"
"30","11031","Erina - Green Point","Greater Sydney"
"31","11032","Gosford - Springfield","Greater Sydney"
"32","11033","Kariong","Greater Sydney"
"33","11034","Kincumber - Picketts Valley","Greater Sydney"
"34","11035","Narara","Greater Sydney"
"35","11036","Niagara Park - Lisarow","Greater Sydney"
"36","11037","Point Clare - Koolewong","Greater Sydney"
"37","11038","Saratoga - Davistown","Greater Sydney"
"38","11039","Terrigal - North Avoca","Greater Sydney"
"39","11040","Umina - Booker Bay - Patonga","Greater Sydney"
"40","11041","Wamberal - Forresters Beach","Greater Sydney"
"41","11042","Woy Woy - Blackwall","Greater Sydney"
"42","11043","Wyoming","Greater Sydney"
"43","11044","Bateau Bay - Killarney Vale","Greater Sydney"
"44","11045","Blue Haven - San Remo","Greater Sydney"
"45","11046","Budgewoi - Buff Point - Halekulani","Greater Sydney"
"46","11047","Chittaway Bay - Tumbi Umbi","Greater Sydney"
"47","11048","Gorokan - Kanwal - Charmhaven","Greater Sydney"
"48","11049","Jilliby - Yarramalong","Greater Sydney"
"49","11050","Lake Munmorah - Mannering Park","Greater Sydney"
"50","11051","Ourimbah - Fountaindale","Greater Sydney"
"51","11052","Summerland Point - Gwandalan","Greater Sydney"
"52","11053","The Entrance","Greater Sydney"
"53","11054","Toukley - Norah Head","Greater Sydney"
"54","11055","Tuggerah - Kangy Angy","Greater Sydney"
"55","11056","Warnervale - Wadalba","Greater Sydney"
"56","11057","Wyong","Greater Sydney"
"57","11058","Bathurst","Rest of NSW"
"58","11059","Bathurst - East","Rest of NSW"
"59","11060","Bathurst Region","Rest of NSW"
"60","11061","Oberon","Rest of NSW"
"61","11062","Condobolin","Rest of NSW"
"62","11063","Cowra","Rest of NSW"
"63","11064","Cowra Region","Rest of NSW"
"64","11065","Forbes","Rest of NSW"
"65","11066","Grenfell","Rest of NSW"
"66","11067","Parkes (NSW)","Rest of NSW"
"67","11068","Parkes Region","Rest of NSW"
"68","11069","West Wyalong","Rest of NSW"
"69","11070","Lithgow","Rest of NSW"
"70","11071","Lithgow Region","Rest of NSW"
"71","11072","Mudgee","Rest of NSW"
"72","11073","Mudgee Region - East","Rest of NSW"
"73","11074","Mudgee Region - West","Rest of NSW"
"74","11075","Wollangambe - Wollemi","Rest of NSW"
"75","11076","Blayney","Rest of NSW"
"76","11077","Orange","Rest of NSW"
"77","11078","Orange - North","Rest of NSW"
"78","11079","Orange Region","Rest of NSW"
"79","11080","Grafton","Rest of NSW"
"80","11081","Grafton Region","Rest of NSW"
"81","11082","Maclean - Yamba - Iluka","Rest of NSW"
"82","11083","Bellingen","Rest of NSW"
"83","11084","Coffs Harbour - North","Rest of NSW"
"84","11085","Coffs Harbour - South","Rest of NSW"
"85","11086","Coramba - Nana Glen - Bucca","Rest of NSW"
"86","11087","Dorrigo","Rest of NSW"
"87","11088","Korora - Emerald Beach","Rest of NSW"
"88","11089","Sawtell - Boambee","Rest of NSW"
"89","11090","Urunga","Rest of NSW"
